name,fav_partners,project_prefs
Brittany Thompson,"[4, 23, 7]","[3, 1, 2, 3, 2]"
Marilyn Evans,"[25, 5, 14]","[1, 2, 3, 0, 3]"
Barbara Chavez,"[8, 24, 12]","[2, 1, 0, 0, 2]"
Charlotte Diaz,"[7, 20, 6]","[1, 0, 1, 3, 0]"
Victoria Ruiz,"[0, 2, 19]","[3, 1, 1, 2, 2]"
Mason Foster,"[1, 10, 16]","[1, 1, 3, 0, 2]"
Sarah Brown,"[29, 23, 17]","[2, 1, 2, 3, 2]"
Willie Ramos,"[3, 9, 14]","[1, 0, 1, 3, 0]"
Betty Foster,"[2, 29, 22]","[2, 2, 0, 1, 2]"
Nicole Chavez,"[25, 26, 3]","[1, 1, 2, 2, 1]"
Isabella Reyes,"[5, 2, 4]","[2, 1, 2, 1, 1]"
Deborah Long,"[17, 22, 18]","[0, 3, 0, 2, 1]"
Stephanie Ramos,"[23, 15, 4]","[3, 1, 1, 2, 2]"
Austin Walker,"[21, 25, 26]","[1, 3, 2, 0, 2]"
Frank Price,"[7, 1, 25]","[2, 1, 2, 1, 2]"
Lawrence Watson,"[12, 9, 3]","[2, 1, 2, 2, 1]"
Theresa Parker,"[3, 28, 22]","[1, 1, 1, 2, 1]"
Joan Mendoza,"[11, 6, 1]","[1, 2, 1, 2, 2]"
Anna Anderson,"[11, 7, 29]","[1, 1, 1, 2, 1]"
Nancy Wood,"[4, 24, 8]","[3, 1, 0, 2, 2]"
Ruth Rodriguez,"[3, 5, 9]","[1, 1, 2, 2, 1]"
Michael Kelly,"[13, 0, 11]","[1, 2, 1, 2, 1]"
Dylan Cox,"[16, 8, 11]","[2, 2, 0, 2, 2]"
Maria Lee,"[0, 26, 12]","[2, 2, 1, 3, 2]"
Alan Martinez,"[2, 13, 15]","[2, 1, 1, 1, 2]"
Jacqueline Gomez,"[1, 14, 13]","[2, 2, 2, 1, 2]"
Anthony Chavez,"[13, 23, 15]","[1, 2, 1, 1, 2]"
Jordan Thomas,"[26, 15, 19]","[2, 2, 1, 1, 2]"
Benjamin Nguyen,"[16, 19, 10]","[2, 1, 1, 2, 1]"
Deborah Brown,"[6, 8, 18]","[1, 1, 1, 2, 2]"
