name,fav_partners,project_prefs
Daniel White,"[8, 26, 27]","[3, 0, 0, 1, 2]"
Douglas Ross,"[4, 16, 11]","[0, 1, 0, 3, 3]"
Sharon Ward,"[1, 12, 24]","[1, 1, 1, 3, 2]"
Albert Bennett,"[12, 0, 14]","[3, 1, 1, 1, 2]"
Melissa Wright,"[1, 27, 2]","[1, 2, 1, 2, 2]"
Tiffany Nelson,"[19, 27, 26]","[0, 0, 0, 0, 1]"
Michael Watson,"[17, 26, 25]","[3, 2, 0, 1, 0]"
Stephen Murphy,"[16, 6, 9]","[2, 2, 1, 1, 0]"
Olivia Morgan,"[5, 27, 3]","[1, 1, 1, 1, 1]"
Dylan Clark,"[7, 4, 17]","[1, 1, 1, 2, 1]"
Tiffany Phillips,"[27, 17, 14]","[3, 3, 3, 3, 3]"
Christina Diaz,"[26, 13, 9]","[2, 1, 2, 1, 1]"
James Clark,"[3, 20, 0]","[3, 0, 1, 1, 2]"
Kimberly Gutierrez,"[11, 18, 27]","[2, 1, 2, 1, 1]"
Timothy Cook,"[3, 21, 23]","[2, 1, 2, 2, 2]"
Jessica Long,"[6, 12, 5]","[2, 1, 1, 0, 2]"
Judith Cox,"[1, 20, 11]","[1, 1, 2, 2, 2]"
William Rivera,"[10, 9, 14]","[2, 2, 2, 2, 2]"
Jessica Bailey,"[8, 14, 7]","[1, 1, 1, 1, 1]"
Teresa Castillo,"[28, 1, 26]","[1, 1, 0, 3, 2]"
Samantha Wright,"[12, 16, 26]","[1, 1, 2, 1, 2]"
Bradley Taylor,"[14, 20, 0]","[2, 0, 1, 1, 2]"
Matthew Edwards,"[11, 8, 15]","[2, 1, 2, 1, 2]"
Lawrence Price,"[14, 3, 5]","[2, 1, 1, 1, 1]"
Jessica Torres,"[2, 20, 21]","[2, 1, 1, 1, 1]"
Liam Harris,"[6, 19, 9]","[2, 1, 1, 1, 1]"
Mason Clark,"[11, 19, 27]","[1, 1, 1, 2, 1]"
Carolyn Flores,"[13, 4, 28]","[1, 2, 1, 2, 2]"
Stephen Hughes,"[27, 19, 23]","[1, 1, 1, 2, 2]"
Vincent Ruiz,"[1, 9, 14]","[2, 1, 2, 2, 2]"
