name,fav_partners,project_prefs
Kathleen Sanders,"[13, 18, 23]","[3, 1, 3, 3, 0]"
Susan Diaz,"[3, 19, 23]","[0, 0, 2, 1, 2]"
Kelly Ross,"[1, 23, 11]","[0, 0, 1, 1, 2]"
Pamela Jones,"[1, 26, 10]","[0, 0, 2, 1, 2]"
Brandon Mendoza,"[9, 5, 25]","[2, 3, 0, 2, 2]"
John Rodriguez,"[4, 6, 14]","[2, 3, 0, 2, 2]"
Logan Sanders,"[5, 28, 29]","[2, 3, 0, 1, 2]"
Willie White,"[4, 23, 0]","[2, 1, 2, 2, 1]"
Juan Kelly,"[11, 14, 27]","[3, 1, 0, 0, 1]"
Larry Smith,"[6, 24, 19]","[2, 2, 1, 1, 2]"
Christopher Morris,"[3, 6, 14]","[1, 1, 1, 1, 1]"
Andrew Cooper,"[20, 22, 2]","[1, 1, 1, 1, 1]"
Jeffrey Alvarez,"[13, 4, 1]","[1, 2, 1, 2, 2]"
Carl Alvarez,"[12, 26, 25]","[1, 2, 1, 2, 2]"
Amanda Torres,"[10, 19, 21]","[2, 2, 1, 1, 1]"
Hannah Gomez,"[23, 4, 14]","[2, 2, 0, 2, 2]"
Gregory Reed,"[27, 10, 6]","[1, 1, 0, 1, 2]"
Ashley Bailey,"[10, 21, 1]","[0, 1, 2, 1, 1]"
Emily Parker,"[5, 22, 7]","[2, 2, 2, 2, 1]"
Frances Adams,"[1, 14, 6]","[2, 2, 2, 1, 1]"
Tyler Carter,"[26, 6, 1]","[1, 1, 1, 1, 2]"
Roy King,"[17, 14, 13]","[1, 2, 2, 1, 2]"
Gerald Gutierrez,"[11, 18, 17]","[2, 1, 2, 2, 1]"
Stephen Hernandez,"[1, 15, 7]","[1, 1, 2, 2, 2]"
Frank Ramos,"[9, 16, 13]","[1, 1, 1, 1, 2]"
Aaron Myers,"[13, 3, 21]","[1, 2, 1, 2, 2]"
Lucas Thomas,"[3, 20, 13]","[1, 1, 1, 2, 2]"
Laura Mitchell,"[16, 8, 2]","[1, 1, 1, 0, 2]"
Bobby Smith,"[16, 4, 15]","[1, 2, 0, 2, 2]"
Jose Roberts,"[6, 18, 16]","[1, 2, 1, 1, 2]"
