name,fav_partners,project_prefs
Jason Kelly,"[22, 1, 19]","[1, 3, 3, 0, 3]"
Richard Nguyen,"[0, 25, 2]","[1, 3, 2, 1, 3]"
John Cox,"[1, 7, 22]","[1, 3, 2, 1, 2]"
Lawrence Richardson,"[10, 8, 2]","[1, 3, 2, 2, 2]"
Frank Johnson,"[25, 3, 1]","[1, 2, 1, 1, 2]"
Lisa Baker,"[16, 4, 17]","[1, 2, 1, 1, 1]"
Christian Evans,"[2, 28, 18]","[1, 2, 2, 1, 2]"
Christina Walker,"[2, 25, 1]","[1, 2, 2, 1, 2]"
Deborah Adams,"[7, 12, 2]","[1, 2, 1, 1, 2]"
Alice Garcia,"[27, 28, 14]","[1, 2, 3, 1, 3]"
Danielle Richardson,"[6, 29, 16]","[1, 1, 2, 1, 2]"
Joyce Kelly,"[3, 1, 24]","[1, 2, 1, 2, 2]"
Alexander Williams,"[25, 10, 29]","[1, 1, 2, 2, 2]"
Virginia Gonzalez,"[10, 17, 1]","[1, 2, 2, 2, 2]"
Abigail Cox,"[4, 17, 5]","[1, 2, 2, 2, 2]"
Gloria Patel,"[10, 13, 19]","[1, 1, 2, 1, 2]"
Judith Rodriguez,"[10, 5, 27]","[1, 2, 2, 2, 2]"
Lucas Johnson,"[14, 5, 13]","[1, 2, 1, 2, 1]"
Russell Watson,"[16, 3, 23]","[1, 2, 2, 2, 2]"
John Wood,"[0, 15, 26]","[1, 2, 2, 0, 2]"
Nathan Rivera,"[11, 9, 7]","[1, 2, 2, 1, 2]"
Peter Anderson,"[7, 24, 13]","[1, 2, 2, 2, 2]"
Donald Morris,"[2, 18, 13]","[1, 1, 2, 2, 2]"
Grace Morris,"[18, 0, 14]","[2, 2, 2, 1, 3]"
Michelle Stewart,"[21, 11, 7]","[2, 2, 1, 1, 2]"
Donna Torres,"[7, 12, 15]","[2, 1, 2, 1, 2]"
Kyle Chavez,"[19, 1, 21]","[1, 2, 2, 1, 2]"
Carolyn Flores,"[9, 26, 18]","[1, 2, 2, 1, 2]"
Michelle Young,"[6, 9, 1]","[1, 2, 3, 1, 3]"
Brian Gomez,"[12, 10, 14]","[1, 1, 2, 2, 2]"
