name,fav_partners,project_prefs
Kyle Jimenez,"[20, 12, 29]","[1, 3, 3, 1, 1]"
Samantha Gomez,"[21, 20, 9]","[0, 0, 2, 2, 3]"
Lawrence Allen,"[11, 22, 10]","[2, 2, 2, 3, 2]"
Diana Jones,"[2, 14, 8]","[2, 2, 2, 3, 2]"
Benjamin Gonzalez,"[25, 13, 0]","[1, 3, 2, 1, 1]"
David Miller,"[10, 17, 19]","[3, 0, 3, 0, 1]"
Noah White,"[29, 14, 15]","[1, 1, 3, 1, 3]"
Margaret Parker,"[18, 28, 19]","[1, 2, 0, 0, 0]"
Nancy Taylor,"[3, 18, 11]","[2, 2, 2, 2, 2]"
Christina Lopez,"[1, 27, 24]","[0, 1, 2, 2, 3]"
Brian Cruz,"[5, 2, 20]","[3, 1, 2, 2, 1]"
Joyce Parker,"[8, 5, 1]","[2, 1, 2, 2, 2]"
Donald Peterson,"[0, 14, 9]","[1, 2, 3, 2, 2]"
Samantha Walker,"[4, 18, 16]","[1, 2, 2, 1, 1]"
Joe Gomez,"[3, 6, 12]","[1, 2, 2, 2, 2]"
David Ramos,"[6, 14, 4]","[1, 2, 2, 2, 2]"
Larry Scott,"[13, 1, 26]","[1, 1, 2, 1, 2]"
Janet Thomas,"[5, 11, 12]","[1, 1, 2, 1, 2]"
Jacob Price,"[8, 7, 6]","[1, 2, 1, 2, 2]"
Karen Campbell,"[5, 7, 28]","[2, 2, 2, 0, 1]"
Thomas James,"[1, 0, 29]","[1, 2, 2, 2, 2]"
Alice Roberts,"[1, 18, 22]","[0, 2, 2, 2, 2]"
Andrea Harris,"[2, 27, 28]","[2, 2, 2, 2, 2]"
Emma Ramos,"[11, 18, 6]","[2, 1, 1, 2, 2]"
Jonathan Rogers,"[9, 20, 28]","[1, 2, 2, 2, 2]"
Patricia Edwards,"[4, 13, 15]","[1, 2, 2, 1, 1]"
Jonathan Gomez,"[16, 21, 12]","[1, 2, 2, 2, 2]"
Maria Edwards,"[9, 22, 11]","[1, 2, 2, 2, 2]"
Frances Parker,"[19, 7, 13]","[2, 2, 2, 1, 0]"
Alexander Martinez,"[0, 6, 20]","[1, 2, 2, 2, 2]"
