name,fav_partners,project_prefs
Jessica Green,"[3, 15, 20]","[3, 1, 0, 0, 2]"
Natalie James,"[15, 23, 9]","[0, 3, 0, 3, 0]"
Sara Turner,"[19, 25, 7]","[2, 3, 1, 3, 2]"
Judy Reyes,"[0, 10, 2]","[2, 2, 1, 1, 2]"
Billy Adams,"[12, 0, 22]","[3, 1, 0, 1, 2]"
Emma Thomas,"[2, 25, 8]","[2, 3, 1, 2, 2]"
Emily Long,"[7, 27, 14]","[0, 2, 3, 3, 2]"
Jonathan Smith,"[6, 2, 25]","[1, 2, 2, 3, 2]"
Ethan Price,"[5, 20, 14]","[1, 3, 1, 1, 2]"
Jean Mitchell,"[26, 27, 2]","[1, 3, 1, 3, 1]"
Laura Lopez,"[3, 17, 21]","[2, 2, 1, 1, 2]"
Joan Garcia,"[14, 3, 18]","[2, 2, 1, 1, 2]"
Lawrence Walker,"[4, 5, 29]","[2, 2, 1, 1, 2]"
Joshua Roberts,"[21, 20, 12]","[1, 1, 1, 1, 2]"
Adam Williams,"[6, 13, 23]","[1, 1, 2, 2, 2]"
Christopher Thomas,"[0, 1, 10]","[1, 2, 0, 1, 1]"
Pamela James,"[7, 5, 26]","[1, 3, 1, 2, 2]"
Laura Myers,"[10, 12, 26]","[2, 2, 1, 1, 2]"
Lauren Gonzalez,"[12, 2, 5]","[2, 2, 2, 2, 2]"
Edward Taylor,"[13, 27, 9]","[1, 2, 1, 2, 1]"
Raymond Walker,"[8, 0, 13]","[2, 2, 2, 1, 1]"
Jose Brooks,"[10, 13, 20]","[1, 2, 1, 1, 2]"
Mary Wright,"[4, 23, 5]","[2, 2, 0, 1, 2]"
Cheryl Morgan,"[22, 3, 26]","[2, 2, 1, 1, 1]"
Abigail Miller,"[13, 20, 3]","[2, 2, 1, 1, 2]"
Stephen Price,"[2, 5, 7]","[1, 3, 2, 2, 2]"
Jean Edwards,"[16, 9, 29]","[1, 3, 2, 2, 2]"
David Evans,"[6, 9, 13]","[1, 2, 2, 2, 2]"
Susan Alvarez,"[2, 24, 23]","[2, 3, 1, 2, 2]"
Rebecca Patel,"[26, 23, 20]","[2, 2, 2, 1, 1]"
