name,fav_partners,project_prefs
Roger Carter,"[17, 14, 2]","[3, 0, 0]"
Roger White,"[35, 31, 20]","[3, 2, 1]"
Justin Young,"[29, 38, 24]","[0, 1, 2]"
Mark Phillips,"[30, 14, 1]","[3, 2, 1]"
Jordan Rogers,"[20, 31, 32]","[1, 0, 2]"
Samuel Flores,"[8, 17, 10]","[0, 0, 0]"
Matthew Garcia,"[26, 27, 14]","[3, 1, 1]"
Jacob Anderson,"[12, 22, 28]","[1, 3, 3]"
Amanda Morris,"[5, 39, 24]","[1, 1, 0]"
Maria Price,"[30, 32, 1]","[2, 2, 1]"
Jennifer Williams,"[5, 37, 21]","[0, 0, 0]"
Vincent Martin,"[15, 39, 9]","[2, 2, 1]"
Catherine Johnson,"[7, 13, 32]","[1, 3, 3]"
Martha Nguyen,"[12, 26, 15]","[1, 2, 2]"
Lori Carter,"[0, 6, 31]","[2, 1, 0]"
Lisa Myers,"[13, 33, 23]","[1, 2, 2]"
Lori Reed,"[5, 31, 10]","[1, 0, 0]"
Juan Hernandez,"[5, 0, 2]","[1, 0, 1]"
Pamela Flores,"[25, 37, 27]","[0, 2, 0]"
Jack Hall,"[37, 6, 9]","[3, 1, 1]"
Judy Jimenez,"[4, 1, 13]","[2, 2, 1]"
Alan Cox,"[16, 9, 0]","[2, 0, 1]"
Gerald Reyes,"[36, 11, 1]","[2, 2, 1]"
Wayne Bailey,"[15, 4, 31]","[1, 1, 1]"
Patrick Morgan,"[8, 13, 38]","[1, 1, 2]"
Bruce Phillips,"[18, 0, 34]","[1, 1, 0]"
Samuel Harris,"[6, 13, 8]","[1, 2, 1]"
Sophia Hall,"[6, 18, 12]","[2, 1, 2]"
Susan James,"[7, 27, 13]","[2, 2, 2]"
Beverly Davis,"[14, 34, 1]","[2, 1, 1]"
Linda Martin,"[3, 9, 34]","[3, 2, 1]"
Donna Price,"[16, 1, 14]","[2, 1, 0]"
David Reyes,"[12, 4, 23]","[1, 1, 2]"
Nancy Miller,"[22, 34, 37]","[2, 2, 1]"
Melissa Rivera,"[33, 25, 10]","[2, 2, 1]"
Sara Diaz,"[1, 37, 6]","[3, 2, 1]"
Daniel Carter,"[22, 12, 1]","[2, 2, 1]"
David Miller,"[19, 35, 1]","[2, 1, 1]"
Arthur Nguyen,"[2, 18, 37]","[1, 2, 1]"
Jessica Davis,"[11, 26, 18]","[1, 2, 0]"
