name,fav_partners,project_prefs
Frances Rodriguez,"[37, 14, 6]","[1, 3, 3]"
Jeremy Garcia,"[14, 35, 38]","[3, 2, 2]"
Stephen Morales,"[28, 14, 27]","[1, 1, 3]"
Samuel Johnson,"[5, 28, 34]","[1, 0, 1]"
Donna Adams,"[20, 1, 26]","[3, 1, 2]"
Theresa Gutierrez,"[3, 4, 39]","[1, 1, 1]"
Roy White,"[0, 38, 30]","[1, 2, 3]"
Jonathan Edwards,"[12, 4, 22]","[3, 1, 1]"
Alice Wright,"[39, 38, 37]","[3, 1, 0]"
Ryan Young,"[21, 13, 12]","[0, 2, 0]"
Evelyn Smith,"[35, 3, 17]","[2, 0, 2]"
Rachel Kim,"[9, 23, 21]","[0, 1, 0]"
George Nguyen,"[9, 7, 36]","[2, 2, 1]"
Olivia Robinson,"[30, 19, 2]","[1, 1, 3]"
Daniel Johnson,"[0, 1, 2]","[1, 2, 3]"
Katherine Young,"[8, 6, 35]","[2, 2, 1]"
Patrick Diaz,"[10, 7, 30]","[3, 1, 2]"
Sophia Lopez,"[10, 9, 6]","[1, 1, 2]"
Alexis Hill,"[4, 28, 39]","[2, 1, 2]"
Laura Gray,"[34, 18, 5]","[1, 1, 2]"
Lori Mitchell,"[4, 16, 22]","[3, 1, 2]"
Helen Taylor,"[9, 11, 2]","[1, 1, 1]"
Mary Kelly,"[7, 20, 26]","[3, 1, 2]"
Lucas Patel,"[14, 3, 20]","[2, 1, 2]"
Ashley Rodriguez,"[22, 11, 5]","[2, 1, 1]"
Jessica Robinson,"[2, 13, 37]","[1, 1, 2]"
Bradley Walker,"[30, 28, 0]","[1, 2, 3]"
James White,"[2, 12, 23]","[2, 2, 1]"
Kyle Phillips,"[2, 3, 18]","[2, 1, 2]"
Wayne Morales,"[2, 11, 30]","[1, 1, 2]"
Hannah Foster,"[29, 26, 13]","[1, 2, 2]"
Cynthia Baker,"[28, 32, 24]","[1, 1, 2]"
Timothy Williams,"[31, 21, 1]","[2, 1, 2]"
Elijah Garcia,"[15, 26, 34]","[1, 2, 2]"
Melissa Patel,"[3, 33, 28]","[2, 2, 1]"
Jesse Campbell,"[15, 16, 18]","[2, 1, 2]"
Nancy Kelly,"[12, 31, 0]","[1, 2, 2]"
Denise Johnson,"[0, 25, 26]","[1, 2, 3]"
Amanda Carter,"[6, 1, 8]","[3, 2, 1]"
Bradley Nguyen,"[5, 36, 18]","[2, 1, 1]"
