name,fav_partners,project_prefs
Alexander Thomas,"[19, 8, 20]","[0, 0, 3]"
David Smith,"[26, 20, 35]","[2, 1, 2]"
Walter Rodriguez,"[31, 23, 3]","[2, 2, 0]"
Sophia Alvarez,"[32, 7, 31]","[1, 0, 1]"
Angela Bennett,"[8, 35, 37]","[3, 1, 3]"
Richard Wood,"[14, 21, 10]","[3, 1, 0]"
Judith Campbell,"[36, 14, 24]","[3, 1, 2]"
Ronald White,"[3, 19, 17]","[1, 0, 1]"
Robert Johnson,"[4, 19, 6]","[3, 1, 2]"
Christian Miller,"[28, 36, 35]","[0, 1, 3]"
Justin Diaz,"[5, 33, 13]","[3, 2, 0]"
Nathan Chavez,"[5, 17, 37]","[3, 1, 0]"
Stephanie Lopez,"[17, 11, 9]","[1, 1, 1]"
Joyce Kim,"[10, 7, 21]","[2, 1, 1]"
Gerald Jimenez,"[6, 3, 32]","[2, 0, 1]"
Richard Long,"[39, 32, 18]","[1, 1, 1]"
Justin Thompson,"[21, 23, 20]","[0, 2, 0]"
Christina Baker,"[7, 12, 22]","[1, 1, 1]"
Michelle Hughes,"[2, 37, 8]","[2, 2, 1]"
Barbara Bennett,"[8, 0, 7]","[1, 0, 1]"
Michael Chavez,"[0, 16, 1]","[0, 2, 1]"
Samuel Green,"[16, 12, 38]","[1, 2, 1]"
Amanda Wilson,"[17, 2, 29]","[2, 2, 1]"
Jordan Gonzalez,"[16, 2, 10]","[2, 2, 0]"
Sharon Moore,"[18, 13, 35]","[1, 2, 1]"
Hannah Flores,"[12, 18, 11]","[2, 1, 1]"
Brandon Moore,"[1, 33, 31]","[2, 1, 2]"
Jeffrey Watson,"[8, 7, 23]","[2, 1, 1]"
Carolyn Cox,"[9, 39, 22]","[1, 1, 2]"
Margaret Murphy,"[24, 36, 10]","[2, 2, 1]"
Evelyn Howard,"[22, 36, 1]","[2, 2, 2]"
Lucas Rivera,"[3, 26, 2]","[1, 1, 1]"
Shirley Mendoza,"[3, 6, 34]","[2, 1, 1]"
Hannah Richardson,"[26, 10, 6]","[2, 2, 1]"
Jonathan Castillo,"[32, 0, 10]","[2, 1, 2]"
Russell Young,"[9, 27, 39]","[1, 1, 2]"
Samantha Kelly,"[30, 6, 29]","[2, 2, 2]"
James Cooper,"[4, 18, 11]","[2, 1, 1]"
Edward Garcia,"[21, 4, 19]","[2, 2, 1]"
Gary Kelly,"[15, 35, 28]","[1, 1, 2]"
