name,fav_partners,project_prefs
Matthew Sanders,"[12, 36, 35]","[3, 0, 1]"
Roger Robinson,"[17, 32, 10]","[2, 1, 3]"
Gabriel Scott,"[36, 10, 23]","[3, 0, 3]"
Ashley Torres,"[28, 35, 27]","[0, 0, 2]"
Jessica Morgan,"[13, 19, 24]","[0, 2, 0]"
Isabella Chavez,"[37, 1, 39]","[2, 1, 2]"
Adam Young,"[4, 12, 17]","[1, 2, 1]"
Samantha Morales,"[34, 12, 14]","[2, 0, 3]"
Jean Scott,"[37, 34, 30]","[3, 2, 1]"
Sean Smith,"[32, 14, 22]","[1, 3, 2]"
Dennis Brown,"[1, 2, 34]","[2, 1, 3]"
Frank Parker,"[1, 34, 38]","[1, 1, 2]"
Kyle Clark,"[0, 30, 11]","[2, 1, 1]"
Bryan Howard,"[4, 37, 26]","[1, 2, 1]"
Patrick Phillips,"[7, 9, 6]","[1, 2, 1]"
Linda Wilson,"[8, 23, 10]","[2, 2, 2]"
Samantha Rogers,"[8, 22, 28]","[3, 2, 1]"
Stephanie Thomas,"[6, 1, 5]","[2, 1, 1]"
Gloria Smith,"[11, 1, 32]","[1, 1, 2]"
Julie Campbell,"[4, 28, 13]","[0, 2, 1]"
Madison Gomez,"[21, 31, 9]","[1, 3, 1]"
Christina Ramos,"[20, 15, 11]","[2, 2, 2]"
Ryan Ortiz,"[9, 18, 12]","[1, 1, 1]"
Dennis Hernandez,"[2, 15, 37]","[2, 1, 2]"
Bobby Thompson,"[4, 20, 32]","[1, 2, 1]"
Joan Hernandez,"[14, 38, 18]","[1, 1, 2]"
Keith Miller,"[13, 34, 10]","[2, 1, 2]"
Ryan Lewis,"[3, 16, 36]","[2, 1, 2]"
Marilyn Adams,"[3, 19, 16]","[2, 1, 1]"
Maria Watson,"[13, 8, 14]","[1, 2, 1]"
Martha Wood,"[8, 15, 19]","[1, 2, 2]"
Laura Garcia,"[20, 17, 7]","[1, 1, 2]"
Adam Ramirez,"[24, 18, 1]","[1, 2, 2]"
George Green,"[13, 11, 29]","[1, 2, 2]"
William Campbell,"[11, 26, 36]","[2, 2, 2]"
Charles Lewis,"[3, 0, 37]","[1, 1, 1]"
Janice Moore,"[0, 27, 34]","[2, 2, 2]"
Sharon Murphy,"[13, 39, 2]","[2, 1, 2]"
Ethan Rodriguez,"[11, 18, 14]","[2, 1, 1]"
Jack Bennett,"[5, 37, 34]","[2, 1, 2]"
