name,fav_partners,project_prefs
Amy Long,"[10, 14, 11]","[3, 3, 3]"
Lori Gutierrez,"[13, 37, 31]","[1, 0, 0]"
Gabriel Smith,"[12, 13, 15]","[1, 1, 0]"
Jack Williams,"[17, 38, 37]","[0, 0, 2]"
Paul Edwards,"[20, 18, 35]","[2, 3, 0]"
Amber Johnson,"[8, 34, 17]","[0, 2, 2]"
Samantha Thompson,"[3, 18, 16]","[0, 1, 2]"
Noah Ruiz,"[1, 6, 34]","[1, 1, 1]"
Juan Johnson,"[2, 21, 31]","[1, 1, 0]"
Julia Gonzalez,"[5, 22, 17]","[0, 1, 1]"
Ryan Jimenez,"[28, 22, 38]","[3, 1, 3]"
Dylan Rodriguez,"[6, 27, 28]","[0, 2, 2]"
Maria Phillips,"[2, 19, 0]","[1, 2, 2]"
Alice Ruiz,"[2, 1, 29]","[1, 0, 0]"
Amy Sanders,"[0, 5, 25]","[1, 3, 3]"
Carl Edwards,"[2, 33, 6]","[1, 1, 1]"
Victoria Wood,"[6, 18, 21]","[0, 2, 2]"
Donna Nguyen,"[5, 9, 23]","[0, 1, 1]"
Heather Hall,"[6, 16, 13]","[1, 1, 1]"
Catherine Jones,"[12, 33, 34]","[1, 1, 2]"
Harold Walker,"[4, 6, 26]","[1, 2, 1]"
Angela Rogers,"[6, 18, 2]","[1, 1, 2]"
Amanda Turner,"[10, 9, 30]","[2, 1, 2]"
Sara Patel,"[17, 7, 20]","[0, 1, 2]"
Austin Smith,"[11, 13, 17]","[0, 1, 1]"
Catherine Kelly,"[14, 37, 10]","[2, 2, 2]"
Bobby Flores,"[20, 0, 25]","[1, 3, 2]"
Brian Sanchez,"[11, 9, 19]","[0, 1, 1]"
Ryan Cox,"[10, 35, 9]","[2, 1, 2]"
Russell Wilson,"[13, 20, 25]","[1, 2, 2]"
Ruth Long,"[18, 14, 1]","[1, 1, 2]"
Karen Jimenez,"[1, 11, 27]","[1, 1, 1]"
Henry Cook,"[24, 29, 15]","[1, 1, 1]"
Helen Bailey,"[15, 19, 37]","[1, 1, 1]"
Ethan Perez,"[7, 5, 35]","[1, 2, 1]"
Liam Martinez,"[4, 28, 34]","[1, 2, 2]"
Kathryn Edwards,"[39, 31, 15]","[1, 1, 1]"
Kimberly Clark,"[25, 20, 22]","[1, 1, 2]"
Dorothy Nguyen,"[10, 3, 20]","[1, 1, 2]"
Richard Lopez,"[3, 32, 0]","[1, 2, 2]"
