name,fav_partners,project_prefs
Tiffany Turner,"[29, 26, 37]","[0, 0, 3]"
Caleb Watson,"[27, 9, 2]","[0, 3, 0]"
Catherine James,"[1, 8, 11]","[0, 2, 1]"
Randy Rivera,"[10, 15, 2]","[0, 2, 2]"
Diana Harris,"[21, 7, 10]","[2, 0, 3]"
Adam Mendoza,"[16, 13, 37]","[3, 0, 0]"
Harold White,"[2, 24, 14]","[0, 2, 2]"
Ryan Price,"[20, 38, 36]","[1, 3, 3]"
Roy Evans,"[17, 11, 26]","[3, 2, 2]"
Gloria James,"[1, 13, 37]","[0, 3, 0]"
Maria Gutierrez,"[3, 5, 17]","[2, 1, 1]"
Danielle Rogers,"[8, 18, 13]","[3, 2, 2]"
Lauren Jackson,"[30, 7, 14]","[1, 2, 2]"
Elizabeth Hernandez,"[9, 11, 22]","[2, 2, 2]"
Wayne Wood,"[12, 6, 10]","[1, 1, 2]"
Christian Bennett,"[3, 27, 21]","[0, 2, 2]"
Logan Mendoza,"[5, 18, 26]","[2, 0, 0]"
Brenda Smith,"[10, 8, 32]","[2, 2, 1]"
Elizabeth Parker,"[11, 16, 28]","[2, 1, 1]"
Jacob Nelson,"[13, 21, 30]","[1, 2, 2]"
Stephen Parker,"[7, 35, 13]","[2, 2, 2]"
Rebecca Ward,"[4, 26, 29]","[2, 1, 2]"
Nancy Sanchez,"[13, 6, 12]","[1, 2, 1]"
Juan King,"[14, 22, 32]","[1, 1, 1]"
Lauren Gomez,"[27, 38, 11]","[2, 1, 1]"
Pamela Diaz,"[21, 30, 14]","[2, 1, 2]"
Betty Myers,"[0, 30, 17]","[2, 2, 2]"
Austin Foster,"[15, 1, 0]","[0, 1, 2]"
Martha Hall,"[9, 39, 7]","[1, 3, 1]"
Albert Scott,"[0, 25, 33]","[1, 1, 2]"
Gregory Chavez,"[12, 19, 15]","[1, 2, 1]"
Kyle Watson,"[18, 5, 32]","[3, 1, 1]"
Emily Price,"[23, 29, 34]","[1, 1, 1]"
Stephen Martin,"[34, 24, 5]","[2, 0, 0]"
Jordan Phillips,"[33, 32, 36]","[2, 1, 1]"
Barbara Harris,"[20, 33, 2]","[2, 1, 1]"
Bruce Smith,"[7, 34, 37]","[1, 2, 2]"
Julie Brown,"[36, 5, 28]","[1, 2, 2]"
David Kim,"[24, 7, 27]","[1, 2, 2]"
Lori Hernandez,"[12, 14, 23]","[1, 1, 1]"
