name,fav_partners,project_prefs
Jerry Gutierrez,"[4, 9, 18]","[2, 1, 0]"
Barbara Watson,"[9, 10, 6]","[3, 0, 1]"
Frances Brooks,"[31, 30, 37]","[2, 3, 1]"
Judith Myers,"[36, 20, 11]","[3, 1, 1]"
Mason Harris,"[0, 8, 33]","[2, 1, 0]"
Janice Nguyen,"[28, 9, 0]","[2, 1, 1]"
Katherine Watson,"[16, 29, 23]","[2, 0, 3]"
Sophia Wilson,"[21, 5, 6]","[2, 1, 2]"
Bryan Wright,"[4, 31, 35]","[2, 1, 1]"
Bobby Walker,"[5, 0, 1]","[2, 1, 1]"
Dorothy Richardson,"[1, 17, 26]","[3, 1, 1]"
Dennis Evans,"[3, 22, 0]","[3, 1, 0]"
Timothy Scott,"[15, 36, 2]","[2, 2, 1]"
Karen Baker,"[29, 28, 35]","[0, 2, 3]"
Gregory Roberts,"[9, 31, 2]","[2, 2, 2]"
Randy Rivera,"[12, 28, 20]","[2, 2, 1]"
Juan Turner,"[12, 25, 0]","[2, 2, 1]"
Gloria King,"[10, 14, 32]","[3, 1, 2]"
Scott Rogers,"[0, 37, 4]","[2, 1, 0]"
Karen Lee,"[38, 17, 16]","[3, 2, 2]"
Richard Smith,"[3, 15, 33]","[2, 2, 1]"
Denise Peterson,"[7, 18, 30]","[2, 1, 2]"
Jean Jackson,"[6, 20, 1]","[2, 2, 1]"
Douglas Myers,"[6, 26, 17]","[3, 1, 2]"
Timothy Wright,"[23, 29, 11]","[3, 1, 2]"
John Hill,"[35, 11, 23]","[2, 1, 1]"
Catherine Wright,"[10, 4, 35]","[2, 1, 1]"
Olivia Roberts,"[8, 31, 15]","[2, 2, 1]"
Jose Hill,"[5, 13, 8]","[1, 2, 2]"
Denise Gray,"[24, 13, 14]","[1, 2, 2]"
Joyce Martin,"[27, 36, 35]","[1, 2, 1]"
Samantha Anderson,"[14, 2, 8]","[2, 2, 1]"
Kimberly Martin,"[17, 19, 0]","[3, 2, 2]"
Alexander Martinez,"[20, 4, 2]","[1, 2, 1]"
Jennifer Reyes,"[16, 15, 17]","[2, 2, 1]"
Kimberly Gonzalez,"[8, 30, 16]","[2, 2, 1]"
Zachary Bailey,"[3, 12, 27]","[2, 2, 1]"
Brenda Jackson,"[18, 2, 17]","[2, 2, 2]"
Susan Wright,"[10, 33, 11]","[2, 2, 0]"
Diana Castillo,"[22, 27, 10]","[2, 1, 1]"
