name,fav_partners,project_prefs
Gary Moore,"[25, 21, 8]","[1, 3, 2]"
Michelle Jimenez,"[9, 27, 41]","[2, 0, 3]"
Jacob Morales,"[0, 7, 9]","[1, 3, 1]"
Lori Rodriguez,"[39, 30, 33]","[2, 2, 1]"
Emma Turner,"[22, 25, 35]","[3, 1, 2]"
Brandon Martinez,"[9, 3, 30]","[2, 2, 1]"
Jessica Diaz,"[30, 19, 29]","[2, 1, 0]"
Paul Lee,"[15, 6, 16]","[2, 2, 1]"
Keith Green,"[33, 42, 37]","[3, 1, 1]"
Gloria Ramirez,"[5, 1, 19]","[2, 1, 1]"
Victoria Brooks,"[39, 47, 19]","[3, 1, 2]"
Dennis Edwards,"[44, 6, 10]","[2, 1, 1]"
Sandra Lewis,"[46, 41, 49]","[2, 3, 0]"
Gabriel Harris,"[48, 39, 27]","[1, 1, 0]"
Roger Miller,"[35, 15, 7]","[2, 2, 1]"
Keith Thompson,"[14, 7, 39]","[2, 2, 1]"
Diane Moore,"[7, 10, 49]","[2, 1, 2]"
Debra Brown,"[41, 45, 27]","[3, 3, 0]"
Debra Gomez,"[28, 4, 21]","[3, 1, 2]"
Dennis Cook,"[6, 26, 23]","[2, 2, 0]"
Joyce Foster,"[46, 44, 10]","[3, 1, 2]"
Christopher Robinson,"[0, 14, 26]","[2, 3, 1]"
Christina Richardson,"[4, 31, 14]","[2, 2, 1]"
Alan Reyes,"[19, 49, 47]","[1, 2, 1]"
Robert Campbell,"[31, 8, 41]","[2, 1, 1]"
Jason Anderson,"[0, 16, 36]","[1, 2, 1]"
Abigail Morris,"[21, 48, 16]","[2, 2, 2]"
Rachel Garcia,"[17, 1, 26]","[2, 1, 2]"
Janet Castillo,"[18, 0, 27]","[2, 2, 2]"
Nancy Cook,"[6, 16, 4]","[2, 1, 1]"
Randy Perez,"[3, 5, 20]","[3, 1, 2]"
Justin Davis,"[22, 24, 37]","[2, 2, 1]"
Henry Baker,"[7, 47, 42]","[1, 2, 2]"
Bryan Walker,"[3, 36, 0]","[1, 2, 1]"
Isabella Nguyen,"[7, 5, 43]","[2, 2, 1]"
Virginia Wood,"[14, 4, 23]","[2, 1, 2]"
Betty Sanders,"[25, 14, 9]","[2, 2, 2]"
Lawrence Brooks,"[8, 15, 14]","[3, 1, 1]"
Jean Patel,"[39, 10, 37]","[2, 1, 2]"
Jacqueline Mitchell,"[13, 15, 38]","[1, 1, 1]"
Barbara Adams,"[11, 38, 3]","[2, 1, 2]"
Bryan Wright,"[12, 14, 19]","[2, 2, 1]"
Judy Gonzalez,"[8, 40, 43]","[3, 1, 1]"
Bryan Baker,"[42, 34, 44]","[2, 1, 1]"
Andrea Jackson,"[11, 43, 20]","[3, 1, 2]"
Sara Hughes,"[17, 8, 47]","[3, 2, 1]"
Aaron King,"[20, 34, 18]","[3, 1, 2]"
Melissa Morris,"[32, 23, 14]","[1, 2, 2]"
Julie Young,"[13, 26, 2]","[2, 2, 1]"
Rachel Murphy,"[23, 6, 34]","[2, 1, 1]"
