name,fav_partners,project_prefs
Kathleen Morris,"[10, 46, 47]","[3, 3, 2]"
Diana Rodriguez,"[44, 8, 11]","[0, 2, 1]"
Melissa Ruiz,"[35, 5, 10]","[0, 0, 1]"
Dylan Wood,"[1, 33, 34]","[0, 2, 2]"
Albert Foster,"[38, 14, 35]","[1, 3, 2]"
Noah Taylor,"[11, 41, 9]","[1, 3, 0]"
Angela Hall,"[30, 15, 37]","[2, 0, 0]"
Brenda Anderson,"[46, 6, 18]","[2, 1, 0]"
Patricia Nguyen,"[32, 46, 35]","[3, 1, 1]"
Wayne Wilson,"[5, 22, 35]","[1, 2, 0]"
Jordan Gomez,"[2, 23, 20]","[0, 0, 1]"
Henry Brown,"[5, 28, 32]","[1, 3, 0]"
Evelyn Allen,"[44, 46, 47]","[1, 2, 1]"
Bradley Ruiz,"[22, 46, 4]","[1, 2, 2]"
Roger Ward,"[4, 6, 17]","[2, 2, 1]"
Ryan Price,"[33, 24, 46]","[2, 0, 3]"
Emma Murphy,"[13, 36, 39]","[1, 2, 2]"
Charles Perez,"[5, 1, 4]","[0, 3, 1]"
Christopher Evans,"[7, 36, 28]","[2, 1, 0]"
Brittany Richardson,"[22, 46, 1]","[1, 2, 1]"
Carl Edwards,"[10, 32, 39]","[0, 0, 1]"
Randy Gray,"[44, 18, 30]","[2, 1, 1]"
Ryan Murphy,"[13, 19, 2]","[1, 1, 2]"
Billy Foster,"[10, 5, 18]","[1, 2, 1]"
Ruth Smith,"[15, 45, 42]","[2, 1, 3]"
Daniel Allen,"[22, 29, 7]","[1, 1, 1]"
Brenda Murphy,"[23, 24, 18]","[1, 1, 1]"
Justin Mitchell,"[21, 38, 17]","[1, 2, 1]"
Jack Cruz,"[11, 18, 8]","[2, 2, 1]"
Gary Flores,"[31, 40, 33]","[3, 0, 2]"
Janet Reyes,"[21, 6, 5]","[1, 1, 1]"
Michael Myers,"[29, 41, 37]","[2, 1, 2]"
Andrea King,"[20, 8, 14]","[2, 1, 1]"
Jonathan Reed,"[29, 3, 15]","[1, 1, 2]"
Maria Gray,"[40, 38, 28]","[1, 1, 1]"
Kelly Brown,"[9, 8, 44]","[2, 1, 0]"
Carol Perez,"[16, 39, 35]","[2, 1, 1]"
Zachary Rivera,"[31, 6, 5]","[1, 2, 1]"
Lori Rogers,"[27, 4, 49]","[1, 2, 2]"
Vincent Patel,"[16, 13, 8]","[2, 1, 1]"
Brian Bailey,"[35, 20, 14]","[2, 1, 0]"
Zachary Watson,"[48, 34, 7]","[1, 1, 1]"
Gloria Hall,"[24, 27, 21]","[2, 2, 1]"
Gregory Rivera,"[28, 30, 38]","[2, 2, 2]"
Stephanie Jackson,"[35, 12, 1]","[1, 2, 0]"
Brandon Taylor,"[24, 47, 8]","[3, 1, 1]"
Donald Alvarez,"[19, 13, 15]","[1, 1, 2]"
Bradley Diaz,"[0, 45, 12]","[2, 2, 1]"
Beverly Johnson,"[41, 39, 10]","[2, 1, 1]"
Emma Cooper,"[39, 32, 12]","[2, 1, 2]"
