name,fav_partners,project_prefs
Sean Ward,"[35, 37, 49]","[1, 3, 1]"
Joshua Clark,"[48, 47, 22]","[3, 2, 1]"
Tyler Ruiz,"[48, 38, 34]","[2, 1, 3]"
Gary Smith,"[9, 8, 0]","[2, 3, 1]"
Cheryl Brooks,"[36, 0, 34]","[1, 3, 1]"
Bobby Peterson,"[21, 37, 24]","[3, 1, 0]"
Aaron Clark,"[19, 31, 36]","[0, 2, 3]"
Linda Sanchez,"[43, 31, 12]","[0, 1, 3]"
Ronald Baker,"[3, 12, 1]","[3, 2, 1]"
Virginia Williams,"[3, 42, 40]","[1, 3, 1]"
Logan Wright,"[3, 39, 24]","[2, 2, 1]"
John Reyes,"[38, 43, 22]","[2, 2, 1]"
Judy Morales,"[7, 48, 8]","[1, 1, 2]"
Cynthia Gonzalez,"[30, 19, 5]","[2, 1, 0]"
Austin Walker,"[40, 18, 42]","[2, 3, 2]"
Kenneth Martinez,"[18, 45, 25]","[2, 3, 3]"
Nicole Martin,"[48, 11, 44]","[2, 2, 2]"
Helen Ross,"[9, 18, 16]","[1, 2, 2]"
Judith Wilson,"[14, 11, 39]","[2, 3, 1]"
Doris Foster,"[6, 13, 49]","[1, 2, 2]"
Eric Rivera,"[33, 16, 6]","[1, 1, 3]"
Nicholas Thomas,"[5, 19, 29]","[2, 2, 1]"
Kathryn Hill,"[1, 45, 21]","[2, 2, 2]"
Joe Young,"[42, 49, 36]","[2, 2, 2]"
Alice Richardson,"[5, 10, 23]","[3, 2, 1]"
Harold Thompson,"[15, 48, 20]","[1, 1, 2]"
Charlotte Ward,"[45, 1, 24]","[3, 1, 1]"
Karen Stewart,"[19, 28, 36]","[1, 2, 2]"
Frank Wood,"[27, 18, 47]","[1, 2, 2]"
Larry King,"[21, 48, 18]","[2, 2, 1]"
Bryan Rogers,"[13, 16, 0]","[2, 2, 2]"
Frank Carter,"[7, 6, 45]","[1, 2, 2]"
Juan Gray,"[48, 5, 46]","[3, 1, 0]"
Gabriel Gomez,"[20, 9, 8]","[2, 2, 2]"
Samuel Miller,"[2, 4, 27]","[1, 1, 2]"
Charlotte Kelly,"[0, 23, 3]","[1, 2, 1]"
Theresa Brooks,"[23, 27, 14]","[2, 2, 2]"
Teresa Cox,"[0, 5, 32]","[2, 1, 1]"
Noah Reed,"[2, 16, 37]","[1, 1, 2]"
Victoria Castillo,"[18, 28, 31]","[2, 2, 2]"
Daniel Lee,"[9, 32, 30]","[2, 2, 1]"
Barbara Rodriguez,"[29, 16, 45]","[2, 1, 1]"
Ashley Smith,"[9, 14, 23]","[2, 2, 2]"
Jeremy Edwards,"[7, 13, 25]","[1, 1, 1]"
Gregory Cox,"[16, 22, 42]","[2, 2, 2]"
Kyle Adams,"[22, 15, 31]","[2, 2, 2]"
Gary Allen,"[32, 23, 6]","[1, 2, 2]"
Tiffany Mendoza,"[1, 28, 16]","[2, 2, 2]"
Joshua Thomas,"[1, 16, 29]","[3, 2, 2]"
Heather Johnson,"[23, 19, 26]","[2, 2, 2]"
