name,fav_partners,project_prefs
Liam Ramos,"[33, 24, 39]","[2, 2, 0]"
Larry Thomas,"[45, 20, 36]","[3, 1, 0]"
Madison Green,"[7, 20, 9]","[2, 1, 2]"
Vincent Mitchell,"[47, 33, 19]","[3, 2, 0]"
Danielle Ross,"[25, 8, 3]","[3, 2, 1]"
Larry Gutierrez,"[17, 38, 37]","[1, 2, 1]"
Laura Green,"[5, 45, 20]","[1, 2, 1]"
Emma Edwards,"[9, 30, 8]","[3, 3, 1]"
Brenda Wright,"[7, 4, 36]","[2, 3, 1]"
Stephanie Wilson,"[2, 5, 22]","[2, 2, 2]"
Rachel Myers,"[42, 29, 36]","[3, 2, 3]"
Kenneth Gray,"[33, 1, 24]","[3, 1, 1]"
Sandra Hall,"[34, 29, 4]","[2, 2, 2]"
David Hall,"[37, 9, 31]","[2, 2, 2]"
Aaron Jackson,"[20, 27, 39]","[2, 3, 0]"
David Wilson,"[49, 7, 35]","[3, 2, 1]"
Victoria Campbell,"[26, 44, 29]","[0, 2, 3]"
Brittany Alvarez,"[5, 21, 45]","[1, 1, 1]"
Andrew Thomas,"[2, 42, 27]","[2, 1, 2]"
Tyler Robinson,"[3, 30, 12]","[3, 2, 1]"
Abigail Gomez,"[2, 14, 10]","[2, 2, 2]"
Jose Richardson,"[17, 18, 24]","[1, 1, 1]"
Michael White,"[9, 29, 19]","[2, 2, 2]"
Nicholas Gonzalez,"[28, 49, 20]","[1, 2, 1]"
Randy Rogers,"[11, 0, 3]","[2, 1, 0]"
Larry Richardson,"[48, 5, 24]","[2, 2, 1]"
Aaron Gomez,"[16, 43, 1]","[2, 2, 2]"
Jessica Castillo,"[14, 6, 47]","[1, 2, 1]"
Ethan Myers,"[23, 9, 13]","[1, 1, 2]"
Jerry Jimenez,"[22, 12, 16]","[1, 1, 2]"
Pamela Anderson,"[7, 19, 46]","[3, 2, 2]"
Sarah Hughes,"[13, 44, 4]","[3, 2, 2]"
Daniel Lee,"[13, 16, 14]","[2, 2, 2]"
Angela Bailey,"[3, 11, 10]","[3, 2, 1]"
Nathan Hall,"[12, 20, 13]","[2, 2, 1]"
Kimberly Murphy,"[15, 38, 8]","[2, 3, 1]"
Linda Lopez,"[10, 1, 8]","[2, 2, 2]"
Melissa Anderson,"[5, 21, 11]","[2, 1, 1]"
Victoria Mendoza,"[35, 5, 43]","[2, 2, 1]"
Jack Anderson,"[0, 7, 46]","[2, 3, 0]"
Hannah Nelson,"[19, 47, 7]","[3, 2, 1]"
Roy Jones,"[16, 40, 1]","[1, 1, 1]"
George Martinez,"[18, 10, 47]","[2, 1, 2]"
Justin Martinez,"[34, 42, 45]","[2, 2, 2]"
Jessica Baker,"[31, 16, 37]","[1, 2, 1]"
Mary Garcia,"[6, 1, 43]","[2, 1, 2]"
Douglas Ward,"[39, 40, 34]","[3, 2, 1]"
Jose Carter,"[42, 27, 7]","[2, 2, 1]"
Edward Jimenez,"[25, 34, 11]","[2, 1, 1]"
Benjamin Watson,"[23, 15, 45]","[2, 2, 2]"
