name,fav_partners,project_prefs
Robert Phillips,"[43, 3, 9]","[3, 2, 3]"
Richard Torres,"[49, 14, 35]","[0, 2, 2]"
Gregory Ward,"[18, 30, 35]","[3, 1, 1]"
Elijah Martinez,"[0, 4, 38]","[2, 2, 3]"
Elizabeth Morris,"[3, 37, 32]","[1, 2, 3]"
Larry Green,"[29, 20, 0]","[2, 2, 2]"
Julia Kim,"[3, 22, 21]","[2, 2, 2]"
Nicole Gutierrez,"[45, 25, 5]","[1, 2, 2]"
Keith Reyes,"[20, 47, 43]","[2, 1, 2]"
Stephanie Clark,"[0, 39, 31]","[3, 2, 3]"
Debra Sanders,"[26, 32, 4]","[1, 2, 2]"
Christian Gutierrez,"[23, 10, 38]","[1, 2, 2]"
Emily Kelly,"[3, 34, 10]","[2, 1, 3]"
Victoria Robinson,"[43, 2, 46]","[3, 2, 2]"
Ruth Clark,"[1, 47, 31]","[1, 2, 2]"
Jeffrey Green,"[20, 30, 18]","[1, 0, 0]"
Jose Reyes,"[38, 43, 1]","[0, 2, 1]"
Anthony Edwards,"[12, 9, 40]","[3, 2, 3]"
Terry Bennett,"[15, 24, 17]","[2, 1, 1]"
Alexander Lewis,"[27, 9, 3]","[2, 2, 3]"
Carol Carter,"[5, 15, 27]","[2, 1, 2]"
Kelly Kelly,"[6, 31, 13]","[3, 2, 2]"
Jacqueline Sanchez,"[6, 10, 28]","[1, 2, 1]"
Roger Torres,"[11, 1, 2]","[1, 2, 2]"
Megan Watson,"[18, 33, 12]","[1, 2, 2]"
Catherine Walker,"[7, 49, 26]","[1, 2, 1]"
Joyce Bennett,"[10, 25, 0]","[1, 1, 1]"
Brenda Davis,"[20, 13, 37]","[2, 2, 1]"
Janice Harris,"[17, 26, 3]","[1, 1, 2]"
Lawrence Brooks,"[5, 6, 48]","[2, 2, 1]"
Jonathan Peterson,"[2, 15, 32]","[2, 1, 0]"
Tiffany Scott,"[21, 40, 10]","[2, 2, 2]"
Mason Cook,"[30, 10, 7]","[2, 2, 1]"
Victoria Collins,"[24, 36, 3]","[2, 2, 2]"
Lori Rodriguez,"[12, 7, 1]","[1, 2, 3]"
Anthony Morales,"[2, 1, 5]","[2, 2, 2]"
Stephanie Ramirez,"[33, 20, 26]","[1, 2, 1]"
Rebecca Chavez,"[27, 4, 16]","[1, 1, 2]"
Eric Hernandez,"[11, 3, 37]","[1, 2, 2]"
Juan Hall,"[9, 21, 19]","[3, 2, 3]"
Joe Howard,"[31, 42, 7]","[2, 1, 2]"
Julie Miller,"[28, 27, 40]","[1, 1, 1]"
Samantha Rodriguez,"[30, 25, 5]","[1, 1, 2]"
Frank Edwards,"[13, 0, 16]","[2, 2, 2]"
Maria Wilson,"[39, 2, 23]","[2, 2, 2]"
Ann Lee,"[7, 19, 35]","[2, 2, 2]"
Sharon Mitchell,"[13, 42, 11]","[2, 2, 2]"
Megan Foster,"[30, 34, 40]","[2, 2, 2]"
Raymond Reed,"[29, 21, 33]","[3, 1, 2]"
Paul Cruz,"[25, 44, 14]","[1, 1, 2]"
