name,fav_partners,project_prefs
Frances Ramos,"[12, 1, 17]","[0, 1, 3, 2]"
Keith Mendoza,"[0, 17, 37]","[0, 1, 2, 2]"
Jeremy Cook,"[29, 28, 15]","[0, 2, 3, 2]"
Walter Brooks,"[47, 38, 44]","[2, 3, 0, 1]"
Elijah Young,"[36, 48, 3]","[1, 3, 0, 2]"
Susan Bennett,"[8, 47, 33]","[0, 3, 1, 3]"
Pamela Lewis,"[46, 42, 40]","[3, 2, 3, 2]"
Donna Rogers,"[46, 5, 8]","[0, 2, 2, 3]"
Paul Morales,"[5, 41, 19]","[0, 2, 1, 2]"
Catherine Cox,"[29, 27, 44]","[1, 1, 3, 0]"
Andrea Flores,"[44, 30, 32]","[3, 2, 3, 3]"
Kayla Williams,"[20, 10, 37]","[3, 2, 2, 3]"
Carolyn Hernandez,"[0, 15, 24]","[0, 1, 2, 2]"
Barbara Torres,"[14, 18, 31]","[1, 0, 1, 0]"
Natalie Hill,"[35, 18, 23]","[0, 0, 3, 2]"
Andrea Murphy,"[31, 49, 22]","[3, 3, 3, 2]"
Bryan Collins,"[13, 31, 47]","[1, 0, 1, 1]"
Cheryl Howard,"[0, 1, 46]","[0, 1, 2, 2]"
Donna Baker,"[14, 11, 41]","[1, 1, 2, 3]"
Sharon Brown,"[8, 1, 33]","[0, 2, 2, 1]"
Alice Smith,"[11, 6, 47]","[3, 2, 2, 3]"
Jacob Sanchez,"[14, 22, 1]","[0, 0, 2, 2]"
Wayne James,"[48, 46, 6]","[2, 2, 3, 2]"
Gary Murphy,"[14, 6, 11]","[2, 1, 2, 2]"
Victoria Gomez,"[12, 4, 10]","[1, 2, 2, 2]"
Diana Patel,"[19, 30, 10]","[1, 1, 2, 2]"
Martha Ward,"[4, 0, 11]","[1, 2, 1, 2]"
Jacqueline Hughes,"[34, 31, 7]","[0, 2, 2, 3]"
Henry Nguyen,"[2, 29, 20]","[2, 2, 2, 2]"
Sharon White,"[2, 28, 9]","[1, 2, 2, 2]"
Jessica Lee,"[10, 49, 24]","[2, 1, 2, 3]"
Bruce Wilson,"[16, 15, 22]","[2, 1, 2, 1]"
Ruth Reyes,"[10, 30, 47]","[3, 2, 2, 3]"
Nancy Ortiz,"[5, 10, 44]","[2, 2, 1, 3]"
Emma Kelly,"[27, 26, 3]","[1, 2, 1, 2]"
Laura Collins,"[11, 23, 34]","[2, 1, 2, 2]"
Jessica Martin,"[4, 35, 7]","[1, 2, 1, 2]"
Christina Parker,"[1, 11, 6]","[2, 2, 2, 2]"
Charles Cook,"[3, 5, 29]","[2, 2, 2, 1]"
Christine Roberts,"[25, 48, 43]","[1, 2, 2, 2]"
Alan Gomez,"[22, 20, 31]","[3, 1, 2, 2]"
Maria Gonzalez,"[8, 28, 30]","[1, 1, 1, 2]"
Frank Flores,"[5, 20, 21]","[2, 1, 2, 3]"
Walter Gutierrez,"[17, 44, 1]","[0, 2, 2, 2]"
Victoria Clark,"[33, 9, 19]","[2, 1, 1, 1]"
Alan Martin,"[32, 46, 10]","[3, 2, 3, 3]"
Marilyn Cooper,"[17, 6, 12]","[1, 1, 2, 2]"
Debra Jimenez,"[32, 5, 16]","[1, 2, 1, 3]"
Steven Campbell,"[4, 39, 18]","[1, 2, 2, 2]"
Dorothy Carter,"[30, 15, 22]","[2, 2, 3, 3]"
