name,fav_partners,project_prefs
Pamela Hernandez,"[45, 6, 16]","[0, 0, 3, 3]"
Albert Murphy,"[45, 41, 35]","[1, 3, 3, 1]"
Joyce Smith,"[1, 10, 8]","[1, 3, 3, 1]"
Jack Ward,"[12, 49, 37]","[1, 1, 2, 3]"
Ethan Roberts,"[43, 2, 24]","[1, 2, 2, 1]"
Martha Martinez,"[18, 32, 37]","[1, 1, 1, 0]"
Jonathan Bennett,"[0, 23, 11]","[1, 0, 3, 3]"
Christopher Diaz,"[47, 21, 16]","[2, 1, 2, 1]"
John Brooks,"[2, 11, 1]","[1, 2, 3, 1]"
Henry Chavez,"[12, 3, 6]","[1, 0, 2, 3]"
Amy Scott,"[2, 37, 34]","[1, 2, 3, 1]"
Billy Patel,"[8, 47, 21]","[2, 2, 2, 1]"
Denise Ross,"[3, 9, 45]","[1, 1, 2, 3]"
Alan Gomez,"[25, 34, 3]","[1, 1, 2, 2]"
Rebecca Roberts,"[4, 27, 47]","[1, 2, 2, 1]"
Judith Walker,"[48, 26, 42]","[1, 2, 0, 2]"
Kathryn Brooks,"[0, 7, 25]","[2, 1, 2, 2]"
Stephanie Robinson,"[18, 13, 4]","[1, 2, 2, 2]"
Walter Roberts,"[5, 24, 36]","[1, 1, 1, 0]"
Lisa Allen,"[4, 1, 5]","[1, 1, 2, 0]"
Matthew Bennett,"[9, 23, 28]","[1, 0, 1, 3]"
Lauren Myers,"[7, 11, 31]","[1, 2, 2, 1]"
Gabriel Richardson,"[44, 17, 36]","[1, 2, 2, 2]"
Joseph Gonzalez,"[6, 14, 27]","[1, 1, 2, 2]"
Amanda Baker,"[39, 46, 21]","[1, 2, 1, 1]"
Maria Reyes,"[13, 20, 1]","[1, 1, 2, 2]"
Donna Gray,"[15, 42, 13]","[1, 1, 1, 1]"
Julia Carter,"[14, 18, 44]","[1, 1, 1, 0]"
Beverly Kim,"[20, 31, 49]","[1, 1, 1, 2]"
Kimberly Cooper,"[45, 4, 19]","[1, 2, 2, 1]"
Lucas Castillo,"[29, 31, 26]","[1, 2, 2, 1]"
Dylan Gutierrez,"[30, 21, 10]","[1, 2, 2, 1]"
Patrick Taylor,"[5, 12, 36]","[1, 1, 2, 2]"
Andrea Adams,"[41, 3, 43]","[1, 1, 1, 3]"
Donald Jones,"[10, 13, 39]","[1, 2, 2, 1]"
Nathan Roberts,"[13, 49, 11]","[1, 2, 2, 2]"
Cynthia Reyes,"[32, 37, 41]","[1, 1, 2, 2]"
Frances Davis,"[10, 19, 5]","[1, 1, 2, 1]"
Eric Thomas,"[18, 29, 33]","[2, 1, 1, 2]"
Danielle Hall,"[34, 24, 25]","[1, 2, 1, 2]"
Deborah Cooper,"[1, 49, 12]","[1, 1, 2, 2]"
Donald Bennett,"[36, 1, 15]","[1, 2, 2, 1]"
Wayne Gomez,"[26, 29, 48]","[1, 1, 2, 1]"
Robert Nguyen,"[4, 34, 10]","[1, 2, 2, 1]"
Brian Ramirez,"[27, 5, 10]","[1, 1, 1, 0]"
Aaron Martinez,"[29, 1, 5]","[1, 2, 2, 0]"
Victoria Wilson,"[24, 6, 7]","[1, 2, 1, 1]"
Bryan Gutierrez,"[14, 11, 7]","[2, 1, 2, 1]"
Richard Wood,"[42, 15, 8]","[2, 1, 2, 1]"
Joseph Moore,"[35, 28, 44]","[1, 2, 1, 2]"
