name,fav_partners,project_prefs
Mark Kelly,"[8, 9, 12]","[0, 0, 0, 3]"
Angela Kelly,"[41, 45, 46]","[3, 2, 1, 2]"
Billy Wright,"[7, 25, 48]","[2, 0, 3, 1]"
Emily Alvarez,"[5, 38, 36]","[3, 2, 3, 2]"
Julie Murphy,"[39, 44, 20]","[3, 1, 3, 1]"
Walter Garcia,"[3, 2, 32]","[2, 1, 3, 1]"
Zachary King,"[39, 49, 44]","[0, 3, 0, 0]"
Martha Ruiz,"[2, 35, 49]","[2, 0, 2, 1]"
Maria Nguyen,"[0, 18, 41]","[0, 0, 0, 3]"
Marilyn Wood,"[38, 17, 22]","[1, 3, 1, 2]"
Christopher Watson,"[15, 12, 27]","[2, 3, 3, 1]"
Cynthia Wright,"[36, 4, 49]","[2, 1, 2, 1]"
Michael Kelly,"[10, 34, 2]","[1, 2, 3, 1]"
Ashley Scott,"[31, 42, 26]","[1, 0, 1, 1]"
Gary Campbell,"[34, 5, 29]","[2, 1, 2, 1]"
Stephanie Patel,"[31, 41, 7]","[2, 0, 2, 1]"
Anthony Taylor,"[4, 36, 48]","[3, 2, 3, 1]"
Eric King,"[9, 4, 48]","[2, 2, 2, 2]"
Julie Jones,"[42, 12, 14]","[1, 2, 2, 1]"
Kimberly Rivera,"[17, 34, 15]","[2, 1, 2, 2]"
Cynthia Long,"[4, 47, 40]","[3, 1, 2, 1]"
Victoria Bennett,"[32, 46, 45]","[1, 3, 0, 3]"
Dorothy Ross,"[5, 38, 47]","[1, 1, 2, 1]"
Frances Wood,"[30, 15, 37]","[2, 0, 2, 1]"
Brandon Lee,"[39, 0, 5]","[1, 1, 1, 1]"
Michael Sanchez,"[2, 34, 32]","[2, 1, 3, 1]"
Gabriel Flores,"[0, 49, 11]","[1, 1, 1, 2]"
Judith Edwards,"[10, 21, 30]","[1, 2, 1, 2]"
Kyle Wright,"[46, 37, 48]","[3, 1, 2, 2]"
Sandra Wood,"[23, 0, 5]","[2, 1, 1, 2]"
Randy Allen,"[23, 27, 13]","[1, 1, 1, 1]"
Katherine Alvarez,"[13, 49, 39]","[1, 0, 1, 1]"
Nancy Hill,"[21, 5, 25]","[2, 2, 2, 1]"
Natalie Miller,"[27, 21, 1]","[2, 3, 1, 3]"
Evelyn Nguyen,"[14, 2, 28]","[2, 1, 2, 1]"
Jacob Carter,"[48, 38, 41]","[2, 2, 1, 2]"
Roy Hughes,"[11, 40, 26]","[1, 1, 2, 1]"
Carl Lopez,"[28, 23, 8]","[2, 0, 2, 2]"
Sean Morris,"[3, 22, 32]","[1, 2, 2, 1]"
Richard Nguyen,"[31, 24, 25]","[2, 1, 2, 1]"
Peter Young,"[36, 18, 39]","[1, 1, 2, 1]"
Jason Turner,"[8, 1, 15]","[2, 1, 1, 1]"
Joshua Thompson,"[13, 40, 6]","[1, 2, 2, 1]"
Maria Hernandez,"[44, 18, 26]","[1, 2, 1, 2]"
Douglas Jimenez,"[4, 6, 15]","[2, 1, 1, 1]"
Dennis Howard,"[1, 21, 48]","[2, 2, 1, 2]"
Andrew Myers,"[1, 28, 5]","[2, 1, 1, 1]"
Kayla Campbell,"[9, 44, 21]","[1, 2, 1, 1]"
Vincent Kim,"[28, 13, 37]","[2, 1, 2, 2]"
Nicholas Cox,"[25, 1, 43]","[1, 2, 1, 2]"
