name,fav_partners,project_prefs
Gary Phillips,"[25, 20, 44]","[2, 1, 0, 0]"
Abigail Ross,"[8, 25, 46]","[2, 3, 2, 2]"
Adam Reyes,"[36, 22, 10]","[1, 3, 0, 3]"
Christine Nguyen,"[47, 42, 9]","[1, 3, 1, 3]"
Angela Smith,"[2, 24, 0]","[2, 1, 0, 2]"
Christine James,"[22, 16, 30]","[1, 3, 1, 1]"
Olivia Carter,"[16, 13, 12]","[1, 2, 1, 1]"
Teresa Smith,"[45, 33, 35]","[2, 2, 0, 2]"
Mary Martinez,"[1, 17, 28]","[2, 2, 2, 2]"
Jeffrey Jimenez,"[13, 12, 36]","[0, 3, 3, 0]"
Steven Turner,"[2, 49, 19]","[1, 2, 1, 2]"
Sarah Sanchez,"[0, 25, 42]","[1, 1, 1, 1]"
Barbara Thomas,"[6, 42, 23]","[1, 1, 1, 1]"
Joshua Green,"[9, 31, 37]","[1, 2, 2, 0]"
Judy Thompson,"[18, 38, 30]","[1, 0, 1, 3]"
Frank Davis,"[12, 20, 3]","[2, 1, 1, 2]"
Jessica Walker,"[6, 5, 3]","[1, 3, 1, 2]"
Maria Lewis,"[8, 9, 0]","[2, 2, 2, 1]"
Jose Allen,"[42, 6, 25]","[1, 2, 2, 1]"
Walter White,"[44, 30, 41]","[1, 2, 1, 0]"
Alexis Wilson,"[15, 48, 49]","[1, 2, 2, 2]"
Donna Gray,"[2, 33, 20]","[1, 2, 1, 2]"
Nancy Thompson,"[5, 2, 3]","[1, 2, 1, 2]"
Amy Gonzalez,"[12, 38, 15]","[2, 1, 1, 1]"
Joshua Foster,"[30, 4, 29]","[2, 1, 0, 1]"
Madison Myers,"[0, 11, 27]","[1, 2, 1, 1]"
Patricia Patel,"[27, 34, 13]","[1, 2, 2, 1]"
Betty Roberts,"[25, 26, 21]","[2, 2, 2, 1]"
Thomas Baker,"[12, 10, 40]","[1, 1, 1, 1]"
Walter Ruiz,"[24, 11, 30]","[2, 1, 1, 1]"
Lori Diaz,"[5, 29, 36]","[1, 2, 2, 1]"
Teresa Nelson,"[13, 8, 17]","[2, 2, 2, 1]"
Joshua Murphy,"[28, 12, 47]","[1, 1, 1, 1]"
Laura Diaz,"[21, 18, 1]","[1, 2, 2, 1]"
Joshua Hughes,"[26, 47, 36]","[2, 2, 2, 2]"
Jordan Ortiz,"[7, 24, 4]","[2, 1, 1, 1]"
Justin Ross,"[30, 34, 2]","[2, 3, 2, 2]"
Stephen Flores,"[13, 38, 20]","[1, 2, 1, 2]"
Diana White,"[14, 37, 23]","[1, 1, 1, 2]"
Cynthia Smith,"[11, 31, 27]","[2, 2, 2, 1]"
Gerald Hernandez,"[28, 4, 34]","[1, 1, 2, 1]"
Stephen Martinez,"[6, 35, 34]","[2, 2, 2, 2]"
Mason Richardson,"[11, 13, 16]","[1, 1, 2, 2]"
Eric Bailey,"[39, 3, 27]","[1, 2, 1, 1]"
Theresa Turner,"[0, 19, 32]","[2, 1, 1, 1]"
Daniel Ross,"[7, 3, 41]","[2, 2, 2, 2]"
Patricia Rodriguez,"[1, 43, 6]","[1, 2, 2, 1]"
Elijah Rodriguez,"[34, 3, 32]","[2, 1, 2, 2]"
Kayla Wright,"[13, 10, 2]","[2, 1, 1, 2]"
Janice Patel,"[10, 29, 31]","[1, 1, 1, 1]"
