name,fav_partners,project_prefs
William Garcia,"[13, 16, 35]","[1, 1, 2, 0]"
Brian Mendoza,"[16, 25, 29]","[1, 3, 1, 0]"
Jeremy Ward,"[37, 6, 26]","[3, 1, 2, 2]"
Willie Morris,"[30, 2, 26]","[3, 1, 2, 2]"
Martha Cox,"[31, 18, 16]","[1, 1, 3, 1]"
Evelyn Reed,"[6, 29, 16]","[2, 2, 1, 2]"
Randy Wright,"[2, 30, 1]","[2, 2, 1, 2]"
Michael Patel,"[38, 24, 33]","[0, 1, 3, 3]"
Sean Gray,"[25, 24, 36]","[3, 3, 3, 3]"
Ronald Sanchez,"[2, 3, 0]","[2, 1, 1, 1]"
Amanda Thomas,"[11, 2, 6]","[2, 2, 1, 2]"
Amy Martinez,"[10, 9, 12]","[2, 1, 1, 1]"
Rebecca Allen,"[11, 38, 32]","[2, 2, 1, 1]"
Linda Turner,"[28, 14, 0]","[1, 1, 2, 0]"
Raymond Davis,"[13, 38, 37]","[1, 2, 1, 1]"
Pamela Reed,"[27, 3, 17]","[2, 1, 2, 2]"
Douglas Reed,"[5, 4, 1]","[1, 2, 1, 2]"
Peter Martin,"[15, 42, 34]","[2, 1, 2, 2]"
Stephen Cox,"[4, 30, 9]","[1, 1, 2, 1]"
Frances Gomez,"[9, 5, 30]","[2, 2, 2, 2]"
Raymond Lopez,"[14, 21, 32]","[1, 2, 2, 1]"
Evelyn Parker,"[20, 45, 24]","[2, 2, 1, 1]"
Olivia Bennett,"[36, 49, 5]","[2, 2, 1, 2]"
Mark Reed,"[44, 28, 48]","[1, 3, 2, 3]"
Paul Ward,"[8, 7, 17]","[2, 2, 3, 2]"
Danielle Gomez,"[1, 8, 32]","[2, 3, 2, 2]"
Wayne Jimenez,"[3, 2, 25]","[2, 2, 2, 2]"
Evelyn Martin,"[15, 45, 23]","[2, 1, 2, 3]"
Stephen Myers,"[23, 10, 35]","[1, 2, 1, 2]"
Joyce Richardson,"[5, 1, 24]","[2, 2, 2, 1]"
Andrea Castillo,"[18, 3, 19]","[2, 2, 2, 2]"
David Kim,"[4, 23, 40]","[1, 2, 2, 2]"
Abigail Taylor,"[25, 12, 20]","[1, 2, 2, 1]"
Christian Davis,"[40, 0, 4]","[1, 1, 2, 1]"
Nicholas Alvarez,"[17, 19, 21]","[2, 2, 2, 1]"
Anthony Campbell,"[28, 0, 18]","[1, 1, 1, 1]"
Debra Gonzalez,"[8, 30, 6]","[2, 2, 2, 2]"
Kenneth Carter,"[2, 14, 7]","[1, 1, 2, 2]"
Christine Clark,"[14, 7, 12]","[2, 2, 2, 2]"
Carol Foster,"[38, 6, 1]","[2, 2, 1, 1]"
Ashley Lewis,"[31, 33, 10]","[1, 2, 2, 1]"
Doris Wilson,"[12, 23, 44]","[1, 3, 1, 1]"
Willie Young,"[17, 36, 32]","[2, 2, 2, 2]"
Shirley Lopez,"[8, 38, 25]","[3, 2, 2, 2]"
Samantha Reyes,"[41, 23, 12]","[1, 2, 2, 2]"
Jennifer Johnson,"[21, 12, 2]","[3, 1, 1, 2]"
Justin Hall,"[29, 3, 30]","[2, 2, 2, 1]"
Deborah Chavez,"[32, 15, 35]","[2, 2, 2, 1]"
Laura Sanders,"[42, 21, 46]","[2, 2, 1, 2]"
Logan Bennett,"[22, 43, 37]","[2, 1, 2, 2]"
