name,fav_partners,project_prefs
Madison Davis,"[9, 3, 6]","[1, 1, 2, 1]"
Jennifer Castillo,"[6, 42, 11]","[1, 3, 2, 2]"
Teresa Myers,"[14, 12, 33]","[2, 3, 1, 1]"
Tyler Miller,"[0, 27, 28]","[2, 1, 2, 1]"
Maria Campbell,"[3, 8, 40]","[2, 2, 2, 2]"
Douglas Turner,"[17, 36, 31]","[1, 3, 1, 2]"
Michelle White,"[1, 34, 16]","[1, 2, 2, 2]"
Andrea Morales,"[19, 43, 34]","[0, 2, 0, 2]"
Diane Hernandez,"[4, 18, 33]","[1, 2, 1, 2]"
Deborah Richardson,"[0, 46, 32]","[2, 2, 2, 1]"
Eric Wood,"[28, 12, 41]","[0, 2, 2, 3]"
Teresa Peterson,"[1, 28, 33]","[1, 3, 2, 2]"
Walter Lee,"[2, 10, 44]","[1, 3, 1, 2]"
Kathryn Baker,"[19, 46, 31]","[3, 0, 3, 1]"
Jerry Davis,"[2, 27, 23]","[2, 3, 1, 1]"
David Murphy,"[34, 14, 32]","[2, 3, 1, 1]"
Ashley Anderson,"[20, 38, 41]","[3, 3, 3, 0]"
Abigail Ward,"[5, 3, 24]","[1, 2, 2, 2]"
Debra Harris,"[8, 24, 33]","[1, 2, 1, 2]"
Helen Clark,"[7, 16, 41]","[1, 2, 1, 1]"
Barbara Ramos,"[16, 31, 3]","[3, 2, 2, 1]"
Kenneth Rogers,"[45, 31, 20]","[3, 2, 2, 1]"
Brenda Allen,"[15, 11, 46]","[1, 3, 1, 1]"
Olivia Kelly,"[31, 11, 27]","[1, 3, 2, 2]"
Jean Roberts,"[17, 38, 28]","[1, 1, 2, 2]"
Jacob Howard,"[49, 6, 28]","[1, 2, 1, 2]"
Bryan Harris,"[6, 18, 0]","[1, 2, 2, 1]"
Dorothy Foster,"[23, 3, 24]","[1, 2, 2, 2]"
Mason Evans,"[11, 10, 23]","[1, 2, 2, 2]"
Danielle Phillips,"[35, 32, 9]","[1, 1, 1, 1]"
Billy Ramos,"[23, 33, 35]","[1, 3, 1, 1]"
Dorothy Murphy,"[36, 12, 44]","[2, 3, 1, 2]"
Andrew Davis,"[15, 29, 9]","[1, 2, 1, 2]"
Melissa Stewart,"[18, 11, 34]","[1, 2, 1, 2]"
Zachary Miller,"[7, 33, 15]","[2, 2, 1, 2]"
Albert Ward,"[29, 45, 9]","[1, 2, 1, 1]"
Janice Gonzalez,"[31, 10, 34]","[2, 2, 2, 2]"
Abigail Martinez,"[32, 38, 25]","[1, 2, 1, 2]"
Melissa Scott,"[16, 37, 24]","[1, 2, 1, 1]"
Tiffany Hill,"[3, 41, 21]","[2, 1, 2, 1]"
Jeffrey Martin,"[15, 10, 47]","[2, 2, 2, 2]"
Denise Turner,"[39, 19, 16]","[1, 2, 2, 0]"
Edward Baker,"[1, 14, 25]","[2, 2, 2, 1]"
Bradley Cruz,"[7, 16, 38]","[2, 2, 2, 1]"
Amy Peterson,"[12, 31, 2]","[1, 3, 1, 1]"
Brenda Reyes,"[35, 21, 26]","[1, 2, 1, 1]"
Marilyn King,"[13, 9, 22]","[2, 1, 2, 1]"
Juan Garcia,"[40, 17, 34]","[2, 1, 1, 2]"
Victoria Smith,"[8, 42, 34]","[1, 2, 1, 1]"
Jesse Smith,"[25, 13, 8]","[1, 1, 1, 2]"
