name,fav_partners,project_prefs
Douglas Price,"[10, 23, 21]","[1, 3, 1, 2, 0]"
Bruce Kelly,"[2, 47, 48]","[0, 1, 0, 1, 0]"
Scott Cox,"[7, 47, 27]","[1, 1, 0, 1, 0]"
Carolyn Ward,"[28, 30, 25]","[2, 1, 1, 2, 2]"
Kathryn Flores,"[15, 20, 9]","[2, 1, 0, 1, 2]"
Lori Phillips,"[20, 4, 34]","[2, 1, 0, 1, 1]"
Roger Cox,"[24, 27, 47]","[0, 0, 0, 1, 1]"
Arthur Parker,"[2, 11, 9]","[1, 1, 0, 1, 1]"
Brenda White,"[7, 0, 46]","[2, 2, 1, 2, 0]"
Julia Wood,"[4, 7, 3]","[2, 2, 0, 1, 1]"
Donna Nguyen,"[0, 29, 11]","[1, 2, 1, 2, 1]"
Natalie Morales,"[10, 7, 30]","[1, 1, 0, 2, 1]"
Logan Jimenez,"[36, 16, 44]","[0, 2, 2, 2, 2]"
Bradley Torres,"[47, 36, 16]","[1, 1, 0, 0, 3]"
Jennifer Reed,"[32, 29, 23]","[2, 3, 1, 2, 3]"
Eric Cook,"[4, 40, 28]","[2, 1, 1, 1, 1]"
Matthew Diaz,"[13, 8, 18]","[1, 1, 1, 2, 2]"
Brandon Peterson,"[41, 30, 9]","[1, 2, 0, 1, 1]"
Austin Carter,"[16, 4, 21]","[1, 1, 0, 2, 2]"
Denise Anderson,"[26, 8, 11]","[1, 2, 1, 2, 1]"
Natalie Chavez,"[4, 5, 44]","[2, 1, 1, 1, 2]"
Christopher Bailey,"[18, 49, 16]","[1, 2, 1, 1, 2]"
Gregory Taylor,"[39, 12, 13]","[1, 2, 1, 1, 3]"
Ethan Cruz,"[14, 0, 48]","[1, 3, 1, 2, 1]"
Alexander Long,"[6, 29, 43]","[1, 0, 1, 1, 1]"
Jean Gray,"[3, 5, 35]","[2, 1, 1, 1, 1]"
Randy Cooper,"[19, 18, 34]","[1, 1, 1, 2, 2]"
Mary Clark,"[6, 2, 33]","[1, 1, 0, 1, 1]"
Jacqueline Gutierrez,"[15, 3, 24]","[2, 1, 1, 1, 2]"
Roger Walker,"[14, 24, 37]","[1, 1, 2, 2, 2]"
Brenda Reyes,"[3, 11, 17]","[2, 1, 0, 1, 1]"
Billy Mendoza,"[34, 10, 33]","[1, 2, 1, 2, 1]"
Jacqueline Diaz,"[46, 30, 11]","[2, 1, 0, 2, 2]"
Donna James,"[6, 28, 38]","[1, 1, 1, 1, 2]"
Susan Chavez,"[26, 31, 45]","[1, 2, 1, 1, 1]"
Peter Jimenez,"[25, 36, 37]","[1, 1, 1, 1, 2]"
Evelyn Ross,"[35, 20, 0]","[1, 2, 1, 1, 1]"
Patrick Stewart,"[35, 29, 28]","[1, 1, 1, 2, 2]"
Emma Anderson,"[33, 11, 45]","[1, 1, 1, 2, 1]"
Zachary Young,"[22, 11, 26]","[1, 2, 1, 1, 1]"
Juan Ortiz,"[15, 39, 7]","[1, 1, 1, 1, 1]"
Sean Parker,"[17, 47, 40]","[1, 1, 1, 1, 1]"
Gregory Miller,"[3, 25, 11]","[2, 1, 0, 2, 2]"
Michael Jones,"[20, 24, 30]","[2, 1, 1, 2, 1]"
Andrew Howard,"[20, 23, 16]","[1, 1, 2, 2, 2]"
George Richardson,"[34, 38, 2]","[2, 1, 0, 1, 1]"
Sara Ramos,"[8, 32, 2]","[2, 1, 1, 2, 1]"
Amy Jimenez,"[41, 17, 29]","[1, 1, 1, 1, 2]"
Bryan Martin,"[1, 41, 20]","[1, 1, 1, 1, 2]"
Michael Jackson,"[21, 15, 2]","[1, 2, 1, 1, 2]"
