name,fav_partners,project_prefs
Brandon Mendoza,"[14, 18, 24]","[1, 1, 0, 3, 2]"
Evelyn Wilson,"[44, 5, 7]","[2, 0, 0, 1, 0]"
Kyle Rivera,"[22, 47, 36]","[2, 0, 2, 0, 2]"
Brenda Flores,"[37, 44, 31]","[1, 0, 1, 3, 0]"
Stephen Ramirez,"[29, 22, 39]","[1, 0, 3, 0, 0]"
Linda Williams,"[1, 30, 47]","[1, 1, 0, 1, 1]"
Jason Cook,"[16, 26, 9]","[2, 2, 0, 0, 2]"
Donna Davis,"[5, 25, 11]","[1, 1, 0, 1, 1]"
Shirley Wilson,"[28, 17, 5]","[1, 1, 0, 2, 1]"
Gregory Gutierrez,"[19, 48, 42]","[3, 0, 2, 1, 2]"
Juan Scott,"[42, 9, 5]","[2, 1, 1, 1, 1]"
Natalie Lee,"[7, 21, 39]","[1, 2, 0, 1, 1]"
Amanda Kim,"[42, 0, 7]","[1, 1, 1, 2, 1]"
Noah Johnson,"[22, 37, 36]","[3, 3, 1, 2, 2]"
Rebecca Cruz,"[0, 29, 42]","[1, 1, 0, 2, 2]"
Kenneth Allen,"[4, 3, 34]","[1, 0, 2, 1, 1]"
Susan Rogers,"[6, 47, 45]","[1, 2, 0, 0, 2]"
Lawrence Ramos,"[8, 44, 35]","[1, 1, 1, 2, 1]"
Lori Alvarez,"[0, 30, 3]","[2, 0, 1, 2, 1]"
John Ross,"[9, 10, 40]","[2, 0, 1, 1, 2]"
Virginia Lee,"[42, 15, 29]","[2, 1, 2, 1, 1]"
Justin Harris,"[11, 13, 41]","[2, 3, 1, 2, 2]"
Larry White,"[2, 13, 25]","[2, 1, 1, 1, 2]"
Patricia Baker,"[48, 25, 4]","[1, 1, 3, 1, 1]"
Emma Cook,"[0, 18, 25]","[2, 1, 1, 2, 1]"
Frances Ruiz,"[22, 24, 23]","[2, 1, 1, 2, 1]"
Andrea Diaz,"[6, 24, 1]","[2, 1, 0, 1, 1]"
Angela Wright,"[29, 19, 0]","[1, 0, 1, 2, 1]"
Nathan Smith,"[8, 16, 18]","[2, 1, 1, 2, 2]"
Nicole Diaz,"[27, 4, 6]","[2, 1, 1, 1, 1]"
Rebecca Allen,"[18, 5, 7]","[1, 1, 1, 2, 1]"
Wayne Stewart,"[3, 22, 5]","[2, 1, 1, 2, 1]"
Jordan Perez,"[14, 17, 22]","[2, 1, 0, 2, 2]"
Kelly Williams,"[23, 17, 11]","[1, 2, 1, 1, 1]"
Zachary Hernandez,"[15, 40, 9]","[1, 1, 2, 1, 2]"
Michelle Perez,"[17, 2, 18]","[2, 1, 1, 1, 1]"
Kathleen Smith,"[18, 34, 33]","[2, 1, 1, 1, 1]"
Sandra Rivera,"[19, 27, 46]","[1, 0, 1, 1, 2]"
Catherine Stewart,"[43, 42, 10]","[1, 1, 1, 1, 1]"
Walter Reyes,"[11, 4, 32]","[2, 1, 1, 1, 1]"
Terry Rivera,"[19, 34, 20]","[1, 1, 2, 1, 2]"
Daniel Gray,"[0, 19, 49]","[2, 1, 0, 2, 2]"
Russell Sanders,"[9, 43, 8]","[1, 1, 1, 2, 1]"
Martha Reed,"[42, 38, 31]","[2, 1, 1, 2, 1]"
Carl Ramirez,"[3, 6, 10]","[1, 2, 1, 2, 1]"
Tyler Sanders,"[47, 38, 11]","[1, 2, 1, 1, 1]"
Jacqueline Kim,"[37, 45, 33]","[1, 2, 1, 1, 1]"
Joseph Hughes,"[5, 2, 9]","[2, 1, 2, 1, 1]"
Jean Turner,"[23, 9, 22]","[2, 1, 2, 1, 2]"
Samuel Parker,"[41, 22, 39]","[2, 1, 0, 2, 2]"
