name,fav_partners,project_prefs
Emma Lee,"[32, 5, 6]","[0, 2, 0, 0, 2]"
Dylan Ward,"[27, 2, 35]","[2, 3, 2, 3, 0]"
Charles Young,"[1, 11, 36]","[1, 3, 2, 3, 0]"
Emily Martinez,"[0, 13, 44]","[0, 2, 1, 0, 2]"
Shirley Jones,"[36, 6, 5]","[3, 3, 0, 2, 1]"
Harold Sanchez,"[0, 4, 36]","[1, 2, 1, 1, 1]"
Timothy Gray,"[4, 0, 34]","[2, 2, 0, 1, 1]"
Peter Martin,"[3, 45, 13]","[0, 2, 1, 1, 2]"
Alexis Murphy,"[10, 29, 42]","[1, 0, 2, 3, 2]"
Christopher Wright,"[31, 5, 20]","[1, 2, 2, 1, 1]"
Judith Kelly,"[8, 21, 22]","[1, 0, 2, 2, 1]"
Hannah Carter,"[2, 4, 19]","[2, 2, 2, 3, 1]"
Anna Cooper,"[21, 25, 9]","[1, 2, 2, 2, 1]"
Steven Robinson,"[17, 29, 28]","[0, 1, 2, 3, 1]"
Teresa Martinez,"[27, 31, 20]","[1, 0, 0, 1, 3]"
Christian Allen,"[18, 10, 39]","[1, 1, 2, 2, 1]"
Dylan Hughes,"[36, 48, 30]","[2, 2, 3, 0, 1]"
Susan Wood,"[44, 9, 14]","[2, 1, 1, 1, 2]"
Arthur James,"[15, 25, 48]","[1, 1, 2, 2, 1]"
Alexander Hernandez,"[44, 30, 38]","[2, 3, 1, 3, 1]"
David Morris,"[16, 27, 14]","[1, 1, 2, 0, 2]"
Lauren Gomez,"[10, 5, 3]","[1, 1, 2, 1, 2]"
Beverly Watson,"[10, 7, 41]","[1, 2, 1, 1, 1]"
Adam Anderson,"[45, 0, 10]","[1, 1, 1, 1, 1]"
Lauren Bailey,"[8, 10, 47]","[1, 1, 2, 3, 2]"
Lisa Garcia,"[12, 18, 43]","[1, 2, 1, 2, 1]"
Albert Gomez,"[28, 32, 5]","[1, 1, 1, 1, 1]"
Nicole Miller,"[20, 3, 43]","[0, 2, 1, 0, 2]"
Victoria Ross,"[26, 13, 43]","[1, 1, 2, 2, 1]"
Noah Flores,"[13, 46, 14]","[0, 1, 1, 1, 1]"
Diane Brown,"[19, 16, 32]","[2, 3, 2, 1, 2]"
Teresa Murphy,"[9, 14, 36]","[1, 2, 1, 1, 2]"
Maria Rogers,"[0, 26, 30]","[1, 2, 2, 1, 1]"
Kelly Hughes,"[15, 21, 46]","[1, 1, 2, 2, 2]"
Dennis Robinson,"[6, 1, 28]","[1, 2, 1, 1, 1]"
Sean Carter,"[28, 48, 1]","[2, 2, 2, 2, 0]"
Kelly Watson,"[2, 4, 16]","[1, 2, 2, 2, 1]"
Noah Adams,"[2, 7, 48]","[0, 3, 2, 2, 1]"
Sharon Kelly,"[7, 23, 39]","[1, 1, 1, 1, 1]"
Helen Mendoza,"[38, 46, 33]","[1, 1, 2, 2, 2]"
Justin Roberts,"[30, 14, 0]","[1, 1, 1, 1, 2]"
Thomas Rogers,"[22, 15, 11]","[1, 1, 2, 2, 1]"
Sara Nelson,"[1, 0, 32]","[2, 2, 2, 1, 1]"
Rachel Long,"[27, 25, 28]","[1, 1, 1, 1, 2]"
Stephen Myers,"[3, 17, 19]","[1, 2, 2, 2, 2]"
Randy Sanders,"[7, 23, 46]","[1, 2, 1, 1, 1]"
Harold Mitchell,"[39, 45, 8]","[1, 1, 1, 1, 2]"
Sophia Turner,"[16, 23, 25]","[1, 1, 2, 2, 1]"
Sarah Kim,"[35, 18, 41]","[1, 1, 1, 2, 1]"
Austin Lewis,"[26, 16, 0]","[1, 1, 2, 0, 2]"
