name,fav_partners,project_prefs
Brittany Long,"[20, 43, 8]","[3, 3, 3, 1, 1]"
Adam Cox,"[16, 15, 37]","[2, 1, 3, 3, 0]"
Willie White,"[1, 3, 25]","[1, 1, 3, 3, 0]"
Roger Cruz,"[14, 28, 44]","[1, 2, 0, 1, 1]"
Aaron Reed,"[10, 45, 37]","[1, 3, 3, 1, 1]"
Jacqueline Edwards,"[28, 49, 22]","[3, 2, 3, 2, 3]"
Janice Torres,"[10, 49, 18]","[2, 3, 2, 0, 0]"
Alan Johnson,"[29, 36, 17]","[2, 3, 3, 0, 0]"
Janet Lee,"[0, 23, 42]","[2, 2, 3, 1, 1]"
Nancy Long,"[19, 5, 26]","[3, 2, 2, 2, 3]"
Gregory Sanchez,"[27, 43, 46]","[0, 0, 0, 1, 1]"
Abigail Murphy,"[16, 8, 14]","[2, 2, 2, 1, 1]"
Alexander Turner,"[25, 6, 32]","[2, 3, 1, 0, 1]"
Larry Baker,"[34, 40, 48]","[2, 0, 0, 0, 0]"
Melissa Hill,"[11, 17, 5]","[2, 1, 3, 1, 2]"
Brittany Davis,"[1, 30, 27]","[2, 1, 3, 2, 1]"
Angela Allen,"[1, 44, 5]","[2, 2, 3, 2, 1]"
Stephen James,"[14, 23, 19]","[2, 1, 3, 1, 2]"
Douglas Martinez,"[21, 23, 47]","[2, 3, 0, 2, 2]"
Jacqueline Green,"[17, 9, 20]","[2, 2, 2, 2, 2]"
Carolyn Bennett,"[19, 0, 45]","[2, 2, 2, 1, 2]"
Michelle Lewis,"[18, 41, 5]","[3, 2, 2, 2, 2]"
Jerry Hernandez,"[5, 46, 39]","[3, 2, 3, 2, 3]"
Joyce Price,"[18, 17, 8]","[2, 2, 2, 2, 2]"
Edward Baker,"[23, 28, 20]","[2, 2, 2, 2, 2]"
Steven Allen,"[2, 12, 23]","[1, 2, 2, 1, 1]"
George Cooper,"[45, 6, 25]","[2, 3, 2, 1, 1]"
Robert Ramirez,"[15, 10, 24]","[1, 1, 2, 2, 2]"
Donald Phillips,"[3, 5, 24]","[2, 2, 2, 1, 2]"
Judy Lewis,"[7, 8, 30]","[2, 2, 3, 1, 1]"
Kayla Wilson,"[15, 22, 11]","[2, 2, 2, 2, 1]"
Diana Gomez,"[25, 43, 17]","[1, 1, 2, 2, 2]"
Juan Rodriguez,"[36, 47, 20]","[1, 2, 1, 1, 2]"
Natalie Young,"[0, 18, 45]","[2, 3, 1, 2, 1]"
Alexis Watson,"[13, 17, 24]","[2, 2, 2, 2, 1]"
Samantha Robinson,"[8, 11, 20]","[2, 2, 2, 1, 2]"
Joe Ramirez,"[7, 32, 24]","[1, 2, 1, 1, 2]"
David Thomas,"[4, 1, 48]","[1, 1, 3, 2, 1]"
Natalie Foster,"[25, 12, 40]","[2, 3, 1, 1, 2]"
Dylan Ward,"[22, 30, 0]","[3, 3, 3, 1, 1]"
Emma Thompson,"[38, 49, 1]","[2, 2, 2, 1, 1]"
Jonathan Williams,"[21, 37, 29]","[2, 1, 2, 1, 1]"
Kayla Bailey,"[8, 26, 38]","[2, 2, 2, 2, 1]"
Robert Baker,"[0, 10, 31]","[2, 1, 2, 2, 1]"
Terry Brooks,"[3, 46, 43]","[2, 2, 1, 2, 2]"
Doris Price,"[33, 4, 30]","[1, 2, 1, 2, 1]"
Alexander Long,"[10, 44, 7]","[1, 1, 2, 1, 1]"
Danielle Mendoza,"[18, 38, 42]","[2, 2, 1, 1, 1]"
Randy Hill,"[13, 37, 34]","[1, 2, 1, 2, 1]"
Stephen Adams,"[5, 40, 6]","[2, 2, 2, 1, 1]"
