name,fav_partners,project_prefs
Terry Myers,"[6, 9, 10]","[0, 2, 3, 1, 0]"
Diana Perez,"[28, 3, 46]","[1, 2, 2, 2, 0]"
Richard Walker,"[44, 4, 12]","[1, 2, 3, 3, 3]"
Justin Johnson,"[40, 48, 4]","[3, 0, 2, 2, 0]"
Michael Evans,"[3, 16, 28]","[3, 0, 2, 1, 0]"
Denise Cruz,"[42, 34, 14]","[2, 3, 0, 3, 3]"
Russell Cox,"[0, 12, 26]","[0, 2, 3, 1, 0]"
Scott Gomez,"[41, 17, 0]","[1, 2, 3, 2, 0]"
Evelyn Wilson,"[21, 11, 1]","[1, 1, 1, 1, 0]"
Carl Roberts,"[0, 14, 27]","[0, 2, 3, 1, 0]"
Martha Long,"[0, 26, 18]","[0, 2, 3, 1, 0]"
Barbara Martinez,"[8, 0, 29]","[1, 1, 2, 1, 1]"
Abigail Brooks,"[6, 2, 23]","[1, 2, 3, 2, 1]"
Gabriel Howard,"[48, 47, 49]","[2, 1, 3, 3, 1]"
Russell Hughes,"[5, 9, 22]","[1, 2, 2, 2, 2]"
Paul Mendoza,"[21, 18, 6]","[0, 2, 2, 1, 1]"
Gabriel Campbell,"[31, 44, 10]","[0, 2, 3, 2, 1]"
William Taylor,"[7, 29, 19]","[1, 2, 3, 2, 1]"
Paul Rogers,"[15, 10, 21]","[0, 2, 2, 1, 0]"
Patricia Patel,"[20, 21, 17]","[1, 1, 3, 2, 1]"
Diana Taylor,"[9, 2, 1]","[1, 2, 3, 2, 1]"
Debra Reed,"[18, 7, 10]","[0, 2, 2, 2, 0]"
Sarah Jimenez,"[49, 30, 1]","[1, 2, 1, 2, 0]"
Abigail Brown,"[12, 10, 41]","[1, 2, 2, 1, 1]"
Joan Cox,"[1, 49, 35]","[1, 2, 2, 2, 1]"
Rebecca Ramirez,"[21, 3, 12]","[1, 1, 3, 2, 1]"
Virginia Sanders,"[10, 38, 44]","[0, 1, 3, 2, 0]"
Anna Smith,"[44, 40, 9]","[1, 2, 3, 1, 1]"
Randy Rivera,"[4, 1, 35]","[2, 1, 2, 1, 0]"
Jesse Gomez,"[11, 6, 33]","[1, 1, 2, 1, 1]"
Liam Scott,"[22, 32, 0]","[1, 2, 2, 1, 1]"
Christian Evans,"[16, 46, 4]","[1, 2, 2, 1, 1]"
Stephanie Morales,"[30, 0, 45]","[1, 2, 3, 2, 0]"
Richard Taylor,"[1, 6, 22]","[1, 2, 2, 2, 0]"
Grace Torres,"[47, 43, 28]","[1, 1, 2, 1, 1]"
Brenda Edwards,"[24, 28, 0]","[1, 2, 2, 1, 1]"
Russell Hernandez,"[17, 7, 11]","[1, 1, 2, 2, 1]"
Emma Flores,"[41, 29, 24]","[1, 1, 2, 2, 2]"
Gary Reed,"[37, 27, 10]","[1, 1, 3, 2, 1]"
Carl Gomez,"[45, 47, 2]","[1, 2, 2, 2, 3]"
Mark Nelson,"[27, 3, 13]","[2, 1, 3, 1, 1]"
Randy Rodriguez,"[7, 23, 20]","[1, 1, 2, 2, 0]"
Diane Sanders,"[5, 13, 30]","[1, 1, 2, 2, 2]"
Laura Harris,"[16, 9, 36]","[1, 2, 2, 2, 1]"
Samuel Nelson,"[45, 1, 22]","[1, 2, 2, 1, 0]"
Gloria Nguyen,"[44, 32, 39]","[1, 2, 2, 1, 1]"
Richard Long,"[1, 34, 25]","[2, 1, 2, 2, 1]"
Joe Gutierrez,"[34, 25, 0]","[1, 2, 2, 1, 0]"
Noah Bailey,"[13, 3, 16]","[1, 1, 3, 2, 1]"
Patrick Harris,"[24, 13, 22]","[1, 2, 2, 2, 1]"
