name,fav_partners,project_prefs
Heather Perez,"[18, 8, 21]","[1, 0, 0, 2]"
Janice Cook,"[28, 12, 13]","[1, 2, 2, 1]"
Noah Martinez,"[18, 0, 8]","[1, 0, 0, 2]"
Brittany Lee,"[13, 28, 22]","[1, 0, 3, 2]"
Susan Brooks,"[3, 8, 12]","[1, 1, 2, 2]"
Jesse Anderson,"[25, 12, 9]","[1, 1, 0, 0]"
Kelly Garcia,"[7, 13, 11]","[3, 3, 3, 1]"
Jason Mendoza,"[6, 4, 17]","[2, 2, 2, 2]"
Lucas Myers,"[2, 4, 23]","[2, 1, 2, 1]"
Lauren Baker,"[5, 29, 10]","[1, 1, 0, 1]"
Bryan Sanchez,"[9, 4, 25]","[2, 2, 1, 1]"
Noah Gutierrez,"[3, 15, 18]","[1, 0, 2, 2]"
Charlotte Howard,"[5, 10, 4]","[1, 1, 1, 1]"
Grace Thompson,"[1, 3, 29]","[1, 1, 2, 1]"
Kenneth Clark,"[16, 9, 26]","[1, 1, 0, 2]"
Joshua Brooks,"[11, 14, 12]","[1, 1, 1, 1]"
John Rogers,"[22, 14, 15]","[1, 2, 0, 2]"
Pamela Wilson,"[8, 16, 25]","[2, 1, 1, 1]"
Barbara Harris,"[11, 7, 24]","[2, 1, 2, 2]"
Henry Bennett,"[18, 23, 15]","[1, 2, 1, 2]"
Benjamin Bennett,"[1, 15, 28]","[1, 1, 2, 1]"
Jacob Cooper,"[0, 13, 26]","[1, 1, 1, 1]"
Frank Hernandez,"[19, 14, 8]","[1, 1, 2, 1]"
Noah Gray,"[8, 19, 27]","[1, 1, 2, 1]"
Ashley Jones,"[18, 17, 14]","[1, 1, 1, 2]"
Kenneth Ward,"[10, 17, 5]","[1, 2, 1, 1]"
Mason Jones,"[28, 11, 29]","[1, 1, 2, 2]"
Lawrence Bennett,"[23, 3, 5]","[1, 1, 2, 1]"
Angela Lewis,"[3, 26, 20]","[1, 1, 2, 2]"
Matthew Adams,"[13, 9, 26]","[1, 1, 1, 1]"
