name,fav_partners,project_prefs
Elijah Mitchell,"[10, 1, 20]","[2, 2, 2, 2]"
Isabella Nguyen,"[0, 6, 7]","[2, 2, 2, 2]"
Peter Kelly,"[8, 28, 23]","[0, 2, 0, 3]"
Nancy Ramos,"[29, 11, 4]","[0, 0, 0, 0]"
Anthony Johnson,"[3, 24, 14]","[0, 0, 1, 0]"
Patrick Ramos,"[13, 18, 12]","[2, 1, 2, 3]"
Joseph Thompson,"[1, 23, 7]","[2, 2, 1, 2]"
Theresa Chavez,"[6, 1, 0]","[1, 1, 1, 2]"
Carl Bennett,"[17, 10, 3]","[1, 0, 0, 1]"
Isabella Mitchell,"[19, 10, 18]","[2, 3, 0, 3]"
Olivia Wright,"[0, 8, 25]","[2, 1, 2, 2]"
Donna Wood,"[3, 28, 8]","[1, 0, 1, 1]"
Brandon Patel,"[5, 24, 15]","[2, 1, 2, 2]"
Joe Jimenez,"[5, 19, 6]","[2, 2, 1, 2]"
Helen Rodriguez,"[4, 5, 16]","[1, 1, 1, 2]"
Janice Ruiz,"[12, 10, 23]","[2, 1, 2, 2]"
Virginia Chavez,"[6, 9, 13]","[1, 2, 1, 2]"
Russell Sanders,"[8, 19, 0]","[2, 2, 2, 2]"
Thomas Bennett,"[5, 9, 11]","[2, 1, 1, 3]"
Kenneth James,"[17, 9, 14]","[2, 1, 2, 2]"
Edward Foster,"[12, 26, 7]","[1, 1, 2, 2]"
Jacob Cook,"[11, 13, 10]","[2, 2, 2, 1]"
Ronald Wright,"[23, 16, 27]","[1, 1, 2, 2]"
Carol Rogers,"[2, 6, 3]","[1, 1, 0, 2]"
Logan Cooper,"[12, 4, 29]","[1, 0, 1, 1]"
Mark Campbell,"[10, 13, 24]","[2, 1, 2, 2]"
Nancy Hughes,"[20, 25, 10]","[2, 1, 2, 2]"
Sandra Watson,"[22, 6, 20]","[2, 1, 1, 1]"
Justin Gomez,"[11, 19, 29]","[2, 1, 1, 1]"
Jessica Gonzalez,"[24, 3, 28]","[2, 1, 0, 1]"
