name,fav_partners,project_prefs
Cynthia Ramos,"[9, 24, 19]","[2, 2, 2]"
Adam Cruz,"[2, 22, 23]","[1, 2, 3]"
Bruce Taylor,"[1, 0, 21]","[2, 2, 2]"
Danielle Jones,"[12, 21, 11]","[0, 1, 0]"
Hannah Ward,"[26, 6, 28]","[3, 1, 3]"
David Nguyen,"[15, 4, 23]","[3, 2, 3]"
Wayne Morgan,"[4, 1, 19]","[1, 2, 3]"
Stephanie Scott,"[23, 21, 2]","[2, 2, 2]"
Amanda Long,"[10, 27, 4]","[3, 1, 3]"
Angela Hernandez,"[0, 17, 13]","[2, 2, 2]"
Ryan Morgan,"[8, 17, 29]","[3, 1, 2]"
Brenda Scott,"[1, 10, 22]","[2, 1, 2]"
Susan Green,"[19, 6, 22]","[1, 2, 2]"
Jack Cox,"[9, 5, 6]","[1, 2, 2]"
Cheryl Young,"[26, 6, 24]","[1, 2, 2]"
Pamela Hall,"[17, 21, 4]","[3, 1, 3]"
William Parker,"[1, 23, 13]","[1, 1, 3]"
Roger Allen,"[9, 15, 10]","[2, 1, 2]"
Harold Clark,"[8, 24, 11]","[2, 1, 2]"
Sarah Wood,"[0, 6, 9]","[2, 2, 2]"
Victoria Brown,"[25, 23, 4]","[2, 1, 3]"
Raymond Myers,"[15, 3, 7]","[1, 1, 1]"
Hannah James,"[1, 12, 11]","[1, 1, 2]"
Russell Hall,"[7, 28, 24]","[2, 1, 2]"
Sarah Carter,"[0, 18, 9]","[2, 1, 1]"
Sharon Moore,"[20, 0, 22]","[1, 2, 2]"
Kenneth Morales,"[29, 10, 13]","[2, 2, 1]"
Mark Watson,"[8, 16, 13]","[2, 2, 2]"
Gloria Cooper,"[23, 4, 20]","[2, 1, 3]"
Martha Rogers,"[10, 28, 22]","[2, 1, 2]"
