name,fav_partners,project_prefs
William Watson,"[6, 12, 27]","[0, 3, 3]"
Denise Howard,"[23, 16, 21]","[3, 1, 2]"
Elijah Martin,"[22, 13, 20]","[2, 0, 1]"
Martha Perez,"[6, 14, 19]","[3, 3, 2]"
Jacob Taylor,"[3, 22, 17]","[3, 2, 1]"
Willie Mitchell,"[1, 7, 12]","[2, 1, 2]"
Terry Scott,"[0, 4, 18]","[2, 2, 2]"
Lisa Reyes,"[5, 3, 16]","[2, 2, 2]"
Sophia Hall,"[26, 16, 19]","[0, 0, 3]"
Elijah Phillips,"[19, 17, 1]","[3, 1, 1]"
Juan Wright,"[23, 12, 17]","[0, 3, 0]"
Emma Ruiz,"[25, 16, 23]","[2, 0, 0]"
Bryan Rodriguez,"[0, 10, 25]","[0, 2, 1]"
Doris Evans,"[2, 15, 16]","[1, 0, 1]"
Ryan Ward,"[25, 1, 7]","[2, 2, 2]"
Cheryl Clark,"[13, 23, 27]","[1, 0, 1]"
Amber Williams,"[11, 1, 4]","[3, 1, 2]"
George Gutierrez,"[10, 4, 22]","[2, 2, 1]"
Megan Parker,"[6, 9, 14]","[2, 1, 2]"
Martha Evans,"[4, 7, 23]","[2, 2, 2]"
Jason Cooper,"[2, 14, 24]","[2, 1, 1]"
Jordan Morris,"[28, 10, 27]","[0, 3, 0]"
Susan Perez,"[4, 17, 16]","[2, 2, 1]"
Catherine Hill,"[10, 19, 11]","[1, 1, 1]"
Russell Jackson,"[20, 15, 2]","[2, 1, 1]"
Patricia Morgan,"[11, 21, 17]","[2, 2, 1]"
Megan Clark,"[8, 1, 9]","[2, 1, 2]"
Gerald White,"[21, 1, 23]","[1, 2, 2]"
Olivia Phillips,"[21, 18, 13]","[1, 1, 2]"
Frances Kelly,"[3, 21, 10]","[2, 2, 1]"
