name,fav_partners,project_prefs
Charlotte Brooks,"[23, 25, 27]","[2, 0, 1]"
Michelle Phillips,"[25, 23, 12]","[0, 3, 3]"
Karen James,"[16, 5, 6]","[3, 2, 2]"
Isabella Martinez,"[16, 28, 17]","[0, 1, 2]"
Samantha Ortiz,"[5, 1, 7]","[0, 2, 2]"
Karen Murphy,"[2, 4, 15]","[1, 2, 2]"
Adam Peterson,"[2, 27, 13]","[3, 1, 2]"
Jessica Rogers,"[4, 8, 21]","[1, 2, 1]"
Anna Edwards,"[7, 27, 0]","[2, 1, 1]"
Martha Jones,"[24, 4, 10]","[1, 2, 1]"
Lisa Price,"[9, 6, 2]","[2, 2, 1]"
Brian Gutierrez,"[6, 21, 23]","[3, 2, 2]"
Kayla Robinson,"[21, 8, 27]","[2, 1, 1]"
Ethan Campbell,"[6, 16, 1]","[2, 2, 2]"
Frank Jackson,"[9, 21, 26]","[1, 2, 1]"
Virginia Hughes,"[5, 19, 7]","[2, 2, 2]"
Debra Ramirez,"[13, 2, 3]","[1, 2, 2]"
Amanda Garcia,"[3, 2, 8]","[1, 2, 2]"
Kimberly Martin,"[10, 17, 0]","[2, 2, 2]"
Jonathan Sanchez,"[24, 6, 15]","[2, 2, 2]"
Jeffrey Kelly,"[27, 10, 21]","[2, 2, 1]"
Frances Patel,"[20, 14, 19]","[1, 2, 2]"
Gloria Anderson,"[4, 14, 11]","[2, 2, 2]"
Kyle Smith,"[1, 11, 13]","[2, 2, 2]"
Tiffany Allen,"[9, 15, 28]","[1, 2, 2]"
Arthur Cruz,"[1, 0, 9]","[1, 1, 1]"
Megan Ruiz,"[5, 9, 29]","[2, 2, 1]"
Kayla Gray,"[6, 8, 12]","[3, 1, 1]"
Brian Kim,"[24, 3, 26]","[2, 1, 2]"
Jacob Davis,"[9, 0, 17]","[1, 1, 1]"
