name,fav_partners,project_prefs
Michelle Morris,"[26, 22, 28]","[0, 3, 1]"
Margaret Johnson,"[8, 29, 18]","[0, 1, 0]"
Danielle Parker,"[3, 23, 1]","[0, 1, 1]"
Brian Cook,"[24, 8, 2]","[0, 1, 1]"
Michael Ramirez,"[13, 17, 16]","[2, 3, 2]"
Teresa Miller,"[2, 1, 18]","[0, 2, 1]"
Margaret Patel,"[28, 14, 8]","[3, 1, 2]"
Steven Cox,"[18, 2, 14]","[1, 1, 1]"
Kevin Gonzalez,"[3, 6, 11]","[2, 1, 1]"
Charlotte Cooper,"[10, 13, 6]","[3, 1, 2]"
Heather Cruz,"[9, 15, 19]","[2, 1, 2]"
Michelle Jimenez,"[8, 16, 12]","[1, 1, 1]"
Jonathan Garcia,"[0, 24, 19]","[1, 2, 1]"
Bruce Turner,"[9, 10, 3]","[2, 1, 1]"
Rebecca Chavez,"[7, 11, 5]","[1, 1, 1]"
Sharon Hill,"[28, 11, 10]","[1, 1, 1]"
John Rodriguez,"[10, 5, 3]","[1, 1, 2]"
Amber Patel,"[10, 1, 16]","[2, 2, 2]"
Benjamin Edwards,"[7, 5, 19]","[1, 2, 1]"
Cheryl Carter,"[12, 28, 8]","[1, 2, 1]"
Adam Davis,"[4, 5, 1]","[1, 2, 2]"
Henry Martinez,"[29, 0, 13]","[2, 2, 2]"
Heather Morales,"[0, 29, 27]","[1, 3, 1]"
Olivia Perez,"[2, 6, 16]","[1, 1, 2]"
Albert Alvarez,"[3, 12, 14]","[0, 2, 1]"
Alice Morgan,"[0, 3, 15]","[1, 1, 1]"
Brian Chavez,"[0, 4, 18]","[1, 3, 2]"
Isabella Foster,"[22, 11, 13]","[2, 2, 1]"
Peter Adams,"[0, 19, 5]","[1, 2, 1]"
Rachel Price,"[1, 21, 23]","[1, 1, 2]"
