name,fav_partners,project_prefs
Douglas Flores,"[3, 13, 29]","[3, 2, 2]"
David Hughes,"[6, 15, 10]","[0, 1, 0]"
Andrew Torres,"[16, 21, 25]","[1, 1, 0]"
Danielle Rogers,"[27, 15, 23]","[2, 3, 1]"
Adam Bailey,"[29, 15, 24]","[1, 3, 0]"
Ronald Martinez,"[20, 27, 25]","[3, 2, 3]"
Virginia Brown,"[1, 2, 20]","[1, 1, 0]"
Alice Ward,"[13, 23, 25]","[3, 3, 0]"
Amber Ross,"[6, 18, 4]","[1, 2, 1]"
Brandon Parker,"[19, 16, 27]","[3, 0, 2]"
Bruce Foster,"[1, 28, 17]","[1, 1, 0]"
Natalie Green,"[0, 21, 14]","[2, 2, 2]"
Raymond Reed,"[16, 10, 4]","[2, 2, 0]"
Raymond Cox,"[0, 25, 27]","[3, 2, 1]"
Heather Watson,"[1, 28, 21]","[0, 2, 0]"
Gerald Nelson,"[4, 1, 3]","[1, 2, 1]"
Bryan Patel,"[2, 9, 27]","[2, 0, 1]"
Jesse Wilson,"[10, 15, 24]","[2, 1, 0]"
Judy Ramos,"[8, 24, 23]","[1, 2, 1]"
Gabriel Jackson,"[9, 6, 17]","[2, 1, 1]"
Marilyn Campbell,"[6, 5, 18]","[2, 2, 1]"
Alexis Parker,"[14, 15, 2]","[1, 2, 1]"
Ruth Wood,"[7, 19, 3]","[2, 3, 1]"
Tiffany Ramirez,"[3, 18, 29]","[1, 3, 1]"
Ronald Flores,"[17, 4, 18]","[1, 1, 1]"
Joyce Carter,"[7, 2, 5]","[2, 2, 2]"
Stephen Diaz,"[19, 10, 12]","[2, 2, 1]"
Amy Lewis,"[9, 13, 3]","[3, 2, 1]"
Juan Anderson,"[14, 25, 6]","[1, 1, 1]"
Jeffrey White,"[4, 23, 0]","[2, 3, 1]"
