name,fav_partners,project_prefs
Donald Thompson,"[18, 21, 7]","[2, 0, 0]"
Kathryn Gomez,"[5, 13, 22]","[2, 2, 1]"
Stephanie Nelson,"[5, 13, 1]","[2, 2, 1]"
Jack Wright,"[27, 23, 18]","[2, 1, 3]"
Carl Gutierrez,"[18, 3, 29]","[2, 1, 3]"
Dorothy Thomas,"[1, 18, 29]","[2, 2, 1]"
Carol Baker,"[29, 17, 22]","[2, 3, 1]"
Walter Myers,"[0, 21, 9]","[2, 1, 0]"
Steven Hill,"[17, 7, 14]","[2, 1, 1]"
Nicholas Martin,"[0, 2, 12]","[2, 1, 1]"
Peter Richardson,"[16, 4, 26]","[1, 1, 2]"
Paul Thompson,"[25, 23, 12]","[2, 1, 2]"
Brittany Castillo,"[11, 9, 10]","[2, 1, 1]"
Kathleen Hill,"[1, 2, 19]","[2, 1, 1]"
Pamela Peterson,"[25, 15, 12]","[2, 1, 2]"
Jose Lopez,"[14, 8, 6]","[2, 2, 1]"
Gabriel Bailey,"[19, 17, 24]","[3, 1, 1]"
Zachary Wright,"[6, 22, 7]","[2, 2, 1]"
Carl Baker,"[0, 3, 12]","[2, 1, 2]"
Cynthia Thompson,"[13, 14, 0]","[2, 1, 1]"
Teresa Hall,"[14, 27, 3]","[2, 1, 2]"
Lawrence Hall,"[7, 22, 17]","[2, 1, 1]"
Charles Thomas,"[17, 29, 14]","[1, 1, 1]"
Jacob Williams,"[11, 6, 8]","[2, 1, 2]"
Elizabeth Collins,"[16, 23, 28]","[2, 2, 2]"
Janet Scott,"[11, 14, 20]","[2, 2, 2]"
Andrew Bailey,"[10, 8, 11]","[2, 1, 1]"
Amy Evans,"[3, 22, 8]","[2, 1, 2]"
Lisa Thomas,"[24, 12, 19]","[2, 1, 2]"
Jeremy Baker,"[4, 6, 22]","[2, 1, 2]"
