name,fav_partners,project_prefs
Mark Phillips,"[2, 37, 38]","[3, 1, 2, 0]"
Joe Jimenez,"[22, 36, 6]","[3, 3, 1, 1]"
Amanda Jimenez,"[23, 30, 10]","[0, 3, 2, 0]"
Carl Baker,"[39, 34, 25]","[0, 0, 0, 0]"
Julia Rogers,"[8, 27, 30]","[1, 0, 2, 2]"
Beverly Foster,"[38, 18, 20]","[0, 2, 3, 3]"
Stephen Jones,"[28, 0, 16]","[3, 2, 2, 0]"
Julia Martin,"[34, 28, 5]","[1, 1, 2, 3]"
Kevin Cruz,"[21, 20, 0]","[2, 1, 2, 0]"
Noah Hall,"[2, 38, 14]","[1, 3, 2, 1]"
Deborah Gonzalez,"[1, 4, 7]","[2, 1, 2, 2]"
Benjamin James,"[16, 34, 14]","[2, 3, 1, 3]"
Martha Cook,"[7, 1, 0]","[2, 2, 1, 1]"
Melissa Jackson,"[2, 3, 9]","[1, 2, 2, 0]"
Joseph Clark,"[9, 11, 13]","[1, 3, 1, 2]"
Ashley James,"[19, 10, 36]","[2, 2, 1, 2]"
Karen Garcia,"[6, 9, 19]","[2, 3, 2, 1]"
Emma Davis,"[19, 5, 0]","[1, 2, 2, 2]"
Theresa Hughes,"[5, 11, 12]","[1, 2, 2, 3]"
Gloria Edwards,"[15, 5, 24]","[2, 2, 1, 2]"
Jennifer Walker,"[5, 9, 32]","[0, 2, 2, 2]"
Madison Gutierrez,"[8, 11, 6]","[2, 1, 2, 1]"
Carl Scott,"[1, 3, 26]","[1, 1, 1, 1]"
Donna Rivera,"[2, 4, 19]","[1, 1, 1, 1]"
Harold Smith,"[30, 21, 28]","[2, 1, 2, 1]"
Lucas Thompson,"[12, 32, 14]","[2, 3, 2, 2]"
Susan Davis,"[22, 21, 17]","[2, 2, 2, 1]"
Raymond Turner,"[4, 10, 19]","[1, 1, 1, 2]"
Catherine Peterson,"[7, 34, 15]","[1, 2, 1, 2]"
Kelly Cooper,"[18, 6, 14]","[1, 2, 2, 2]"
Judith Cooper,"[4, 20, 6]","[2, 2, 2, 1]"
Jesse Morales,"[9, 27, 15]","[1, 1, 1, 2]"
Gary Clark,"[20, 34, 9]","[0, 2, 2, 1]"
Lisa Robinson,"[29, 32, 20]","[1, 2, 2, 1]"
Andrew Gray,"[11, 7, 32]","[1, 1, 2, 2]"
Bradley Allen,"[13, 14, 34]","[1, 2, 2, 1]"
Pamela Johnson,"[15, 22, 12]","[2, 1, 1, 2]"
Vincent Martin,"[0, 22, 23]","[1, 1, 1, 1]"
Raymond Brown,"[0, 18, 9]","[2, 2, 2, 2]"
Arthur Phillips,"[3, 2, 33]","[1, 1, 1, 1]"
