name,fav_partners,project_prefs
Lisa Howard,"[24, 22, 27]","[2, 2, 2, 3]"
Bobby Brown,"[18, 27, 6]","[0, 1, 1, 0]"
Frances Reyes,"[0, 18, 29]","[2, 2, 2, 2]"
Heather Anderson,"[37, 12, 14]","[1, 0, 3, 3]"
Austin Collins,"[3, 27, 6]","[1, 0, 3, 3]"
Brenda Thomas,"[1, 29, 2]","[1, 1, 2, 2]"
Diana Hernandez,"[1, 23, 9]","[0, 1, 1, 0]"
Catherine Castillo,"[19, 38, 36]","[0, 2, 3, 3]"
Harold Rodriguez,"[2, 23, 34]","[1, 2, 1, 2]"
Christine Collins,"[6, 36, 23]","[0, 1, 1, 0]"
Harold Ramos,"[3, 12, 1]","[1, 1, 2, 2]"
Linda Hernandez,"[14, 29, 7]","[1, 2, 3, 2]"
Andrew Green,"[10, 3, 14]","[1, 1, 2, 3]"
Grace Ross,"[6, 23, 10]","[1, 1, 2, 2]"
Jean Smith,"[12, 11, 3]","[1, 1, 3, 3]"
Mark Thomas,"[21, 26, 0]","[2, 2, 2, 3]"
Betty Price,"[34, 9, 5]","[1, 1, 2, 1]"
Jeremy Lewis,"[33, 19, 27]","[3, 3, 1, 3]"
Eric Roberts,"[1, 2, 39]","[1, 2, 2, 1]"
Gary Miller,"[7, 17, 28]","[2, 2, 2, 3]"
Raymond Parker,"[0, 37, 5]","[1, 2, 1, 2]"
Debra Cooper,"[0, 35, 25]","[1, 2, 2, 2]"
Amy James,"[0, 4, 17]","[2, 1, 2, 3]"
Ashley Gomez,"[6, 13, 9]","[0, 1, 2, 1]"
Sophia Perez,"[7, 25, 20]","[0, 2, 1, 2]"
Joyce Sanchez,"[21, 33, 5]","[1, 1, 1, 1]"
William Gomez,"[15, 38, 0]","[1, 2, 2, 3]"
Harold Chavez,"[4, 8, 18]","[1, 1, 2, 2]"
Joyce Turner,"[5, 36, 14]","[2, 1, 2, 3]"
Danielle Myers,"[11, 2, 33]","[1, 1, 3, 2]"
Steven Campbell,"[10, 31, 6]","[1, 2, 1, 1]"
Michael Hughes,"[30, 28, 37]","[1, 1, 2, 2]"
Tiffany Myers,"[25, 36, 38]","[1, 1, 1, 2]"
Joe Sanders,"[17, 25, 31]","[1, 2, 1, 1]"
Richard Anderson,"[16, 28, 20]","[2, 2, 1, 2]"
Angela Rodriguez,"[19, 23, 0]","[2, 1, 2, 3]"
Jack Phillips,"[32, 9, 7]","[0, 2, 1, 1]"
Susan Wilson,"[3, 31, 1]","[1, 1, 2, 2]"
Debra Cruz,"[32, 26, 9]","[0, 1, 1, 1]"
Anthony Sanders,"[18, 15, 10]","[2, 1, 2, 2]"
