name,fav_partners,project_prefs
Ethan Williams,"[32, 36, 10]","[0, 0, 2, 0]"
Olivia Robinson,"[26, 18, 32]","[3, 3, 0, 0]"
Jose Gonzalez,"[24, 0, 35]","[1, 0, 2, 1]"
Vincent Carter,"[24, 2, 30]","[1, 1, 2, 2]"
Deborah Foster,"[7, 21, 24]","[0, 0, 0, 3]"
Zachary White,"[0, 35, 15]","[1, 0, 2, 1]"
Kimberly Lee,"[17, 26, 18]","[1, 1, 3, 3]"
Judith Campbell,"[4, 29, 13]","[1, 0, 0, 2]"
Bryan Watson,"[19, 13, 9]","[1, 2, 1, 0]"
Larry White,"[25, 32, 36]","[3, 3, 3, 0]"
Brian Ramos,"[19, 25, 39]","[3, 3, 3, 2]"
Sara Ramirez,"[10, 36, 0]","[2, 1, 3, 1]"
Stephen Moore,"[4, 37, 36]","[0, 1, 0, 3]"
Eric Jackson,"[7, 8, 18]","[1, 2, 1, 1]"
Brenda Thompson,"[30, 34, 5]","[1, 1, 1, 1]"
Samantha Collins,"[5, 12, 3]","[1, 1, 2, 2]"
Noah Evans,"[34, 10, 23]","[3, 3, 2, 2]"
Rebecca Richardson,"[6, 18, 22]","[2, 1, 3, 2]"
Zachary Watson,"[17, 1, 30]","[2, 1, 1, 1]"
William Baker,"[10, 3, 13]","[2, 1, 2, 1]"
Thomas Perez,"[37, 26, 22]","[3, 1, 3, 0]"
Virginia Adams,"[4, 13, 34]","[0, 1, 1, 2]"
Carl Torres,"[17, 20, 23]","[2, 2, 3, 1]"
Lisa Phillips,"[16, 22, 30]","[2, 3, 2, 2]"
Carolyn Murphy,"[2, 4, 22]","[1, 1, 1, 2]"
Gregory Richardson,"[9, 10, 30]","[2, 3, 3, 1]"
Henry Moore,"[20, 0, 7]","[1, 0, 1, 1]"
Albert Howard,"[26, 3, 6]","[2, 1, 1, 2]"
Russell White,"[9, 30, 2]","[2, 2, 3, 1]"
Billy Cooper,"[7, 16, 27]","[2, 2, 1, 2]"
Donna Rivera,"[3, 23, 15]","[1, 2, 2, 2]"
Kimberly Sanchez,"[19, 23, 5]","[2, 1, 2, 1]"
David Cook,"[0, 1, 29]","[2, 1, 1, 1]"
Rebecca Ramos,"[19, 22, 2]","[2, 2, 2, 1]"
Charles Morgan,"[21, 16, 14]","[1, 2, 2, 2]"
Wayne Long,"[2, 25, 27]","[1, 1, 2, 1]"
Elijah Baker,"[0, 9, 39]","[2, 1, 2, 0]"
Adam Myers,"[7, 13, 21]","[1, 1, 0, 2]"
Scott Perez,"[18, 11, 7]","[1, 1, 2, 1]"
Amanda Taylor,"[10, 36, 33]","[2, 2, 2, 1]"
