name,fav_partners,project_prefs
Virginia Taylor,"[31, 38, 28]","[2, 3, 3, 0]"
Raymond Robinson,"[12, 30, 34]","[0, 1, 1, 3]"
Victoria Morales,"[13, 6, 10]","[0, 3, 1, 1]"
Harold Lee,"[16, 18, 28]","[0, 0, 1, 3]"
Thomas Anderson,"[32, 7, 39]","[3, 2, 3, 2]"
Robert Myers,"[23, 27, 1]","[1, 1, 1, 2]"
Judy Davis,"[2, 5, 30]","[1, 2, 1, 1]"
Edward Smith,"[32, 9, 24]","[0, 3, 0, 1]"
Judy Foster,"[12, 36, 28]","[2, 3, 2, 3]"
Joshua Scott,"[7, 12, 35]","[1, 3, 0, 1]"
Karen Hughes,"[2, 33, 11]","[1, 3, 1, 1]"
Walter Castillo,"[31, 26, 3]","[1, 0, 1, 3]"
Donald Morales,"[8, 9, 7]","[1, 2, 1, 2]"
Cynthia Morgan,"[29, 22, 37]","[2, 3, 0, 3]"
Patricia Morales,"[32, 22, 38]","[0, 1, 1, 1]"
Rebecca Harris,"[24, 26, 10]","[1, 3, 2, 1]"
Bradley Adams,"[21, 22, 32]","[1, 2, 2, 3]"
Lauren Kelly,"[24, 12, 3]","[1, 1, 1, 3]"
Keith Jones,"[3, 33, 0]","[1, 2, 2, 2]"
Abigail Bennett,"[38, 22, 35]","[1, 2, 1, 2]"
James Hughes,"[17, 8, 4]","[2, 2, 2, 2]"
Russell Walker,"[18, 12, 19]","[1, 2, 1, 2]"
Sandra Mendoza,"[16, 13, 6]","[1, 2, 1, 2]"
Patrick Patel,"[5, 18, 11]","[1, 2, 1, 2]"
Katherine Taylor,"[15, 17, 7]","[1, 2, 1, 1]"
Megan Smith,"[9, 1, 2]","[1, 2, 1, 2]"
Christina Wilson,"[15, 20, 22]","[1, 2, 2, 1]"
Sara Castillo,"[5, 7, 8]","[1, 2, 1, 2]"
Willie Martinez,"[0, 3, 8]","[2, 2, 2, 2]"
Patrick Nelson,"[13, 33, 4]","[2, 2, 1, 2]"
Judy Turner,"[1, 10, 0]","[1, 3, 1, 1]"
Kayla Cook,"[11, 0, 7]","[2, 1, 1, 2]"
George Robinson,"[7, 18, 15]","[1, 2, 2, 1]"
Kathleen Davis,"[29, 18, 10]","[1, 2, 2, 2]"
Katherine Scott,"[24, 4, 38]","[2, 2, 2, 1]"
Russell Thomas,"[9, 19, 11]","[2, 2, 1, 2]"
Dorothy Stewart,"[8, 3, 39]","[1, 1, 1, 2]"
Bobby Flores,"[26, 25, 24]","[1, 2, 2, 1]"
Kelly Howard,"[13, 29, 31]","[2, 2, 1, 2]"
Alexis Roberts,"[36, 14, 34]","[1, 1, 2, 1]"
