name,fav_partners,project_prefs
Nicole Torres,"[8, 14, 31]","[2, 0, 1, 0]"
Nancy Thompson,"[8, 24, 15]","[2, 1, 3, 2]"
Joe Sanchez,"[1, 34, 12]","[2, 1, 2, 2]"
Michael Young,"[33, 26, 7]","[0, 3, 0, 0]"
Madison Lewis,"[37, 29, 23]","[2, 3, 0, 3]"
Catherine Ruiz,"[21, 12, 31]","[3, 3, 2, 2]"
Thomas Price,"[20, 32, 1]","[2, 1, 3, 2]"
Laura Cox,"[3, 10, 25]","[1, 3, 0, 0]"
Amber Wilson,"[0, 18, 37]","[2, 1, 2, 1]"
Sean Lopez,"[34, 36, 27]","[1, 2, 2, 3]"
Walter Gonzalez,"[7, 31, 14]","[1, 3, 0, 1]"
Douglas Davis,"[5, 20, 7]","[1, 3, 1, 1]"
Judith Bennett,"[2, 16, 31]","[1, 1, 2, 2]"
Helen Howard,"[36, 26, 23]","[2, 3, 0, 0]"
Elijah Richardson,"[10, 1, 33]","[1, 2, 2, 2]"
Danielle Cox,"[8, 25, 5]","[2, 2, 1, 1]"
Sandra Evans,"[12, 37, 3]","[1, 2, 1, 2]"
Alan Wilson,"[27, 21, 9]","[1, 2, 2, 2]"
Doris Jackson,"[8, 15, 33]","[2, 2, 1, 1]"
Christian Harris,"[18, 14, 27]","[1, 2, 1, 1]"
Susan Chavez,"[11, 6, 17]","[1, 1, 2, 2]"
Mary Smith,"[17, 10, 39]","[1, 2, 1, 1]"
Frank Williams,"[12, 21, 33]","[1, 1, 1, 1]"
Henry Brown,"[4, 21, 27]","[1, 3, 0, 1]"
Kenneth Bennett,"[1, 19, 33]","[2, 1, 2, 2]"
Robert Ramirez,"[7, 15, 16]","[1, 2, 0, 1]"
Rachel Flores,"[13, 3, 28]","[1, 3, 0, 1]"
Teresa Chavez,"[17, 9, 19]","[1, 2, 2, 2]"
Grace Lee,"[18, 17, 39]","[2, 2, 2, 2]"
Andrew Gomez,"[35, 21, 19]","[1, 2, 1, 1]"
Debra Mendoza,"[26, 10, 25]","[1, 3, 0, 1]"
Bradley Walker,"[5, 0, 36]","[2, 2, 2, 1]"
Dorothy Moore,"[6, 14, 8]","[2, 1, 2, 2]"
Vincent Bailey,"[0, 35, 24]","[2, 0, 1, 1]"
Amanda Lee,"[9, 2, 25]","[2, 2, 1, 2]"
Sharon Stewart,"[29, 23, 20]","[1, 2, 1, 1]"
Lucas Sanders,"[9, 6, 30]","[1, 2, 2, 2]"
Megan Hill,"[4, 8, 2]","[1, 2, 1, 2]"
Amber Morgan,"[36, 25, 22]","[1, 1, 1, 1]"
Madison Jimenez,"[21, 13, 6]","[1, 2, 2, 1]"
