name,fav_partners,project_prefs
Christopher Ramirez,"[31, 33, 14]","[0, 3, 2, 1, 0]"
Marilyn Brooks,"[21, 38, 22]","[0, 1, 1, 1, 1]"
Maria Mendoza,"[24, 1, 31]","[1, 1, 1, 2, 1]"
Debra Bennett,"[14, 35, 33]","[3, 0, 0, 1, 3]"
Grace Ramos,"[18, 26, 22]","[0, 2, 3, 3, 2]"
Brenda Foster,"[31, 33, 34]","[2, 0, 1, 1, 3]"
Teresa Peterson,"[23, 9, 25]","[0, 1, 2, 3, 1]"
Andrea Murphy,"[2, 14, 37]","[1, 1, 1, 2, 2]"
Harold Jimenez,"[15, 34, 4]","[1, 2, 3, 2, 2]"
Ryan Wright,"[37, 39, 35]","[1, 2, 1, 1, 3]"
Helen Scott,"[13, 18, 6]","[1, 1, 2, 3, 1]"
Jesse Ross,"[18, 39, 21]","[0, 2, 0, 1, 3]"
Raymond Wilson,"[29, 4, 38]","[1, 2, 3, 3, 2]"
Zachary Anderson,"[10, 26, 32]","[2, 2, 2, 2, 1]"
Lucas Jimenez,"[3, 7, 5]","[2, 0, 1, 2, 2]"
Lori Wilson,"[8, 39, 6]","[0, 2, 3, 3, 2]"
Jennifer Gray,"[20, 7, 11]","[1, 1, 1, 1, 3]"
Karen Lewis,"[8, 22, 4]","[1, 2, 2, 2, 1]"
Sophia Clark,"[10, 11, 21]","[1, 2, 1, 2, 1]"
Patrick Carter,"[15, 18, 22]","[1, 1, 2, 2, 1]"
Jacob Collins,"[16, 19, 1]","[2, 2, 1, 1, 2]"
Russell Green,"[1, 18, 11]","[1, 2, 0, 1, 2]"
Larry Cook,"[1, 4, 26]","[0, 2, 2, 2, 1]"
Liam Hughes,"[22, 10, 27]","[1, 1, 2, 2, 2]"
Arthur Nguyen,"[2, 17, 31]","[1, 1, 2, 1, 1]"
Amy Davis,"[30, 13, 3]","[2, 1, 2, 2, 2]"
Bryan Nguyen,"[4, 13, 39]","[1, 2, 3, 2, 2]"
John Mendoza,"[23, 36, 33]","[1, 1, 2, 1, 1]"
Lawrence Ortiz,"[7, 0, 21]","[1, 1, 1, 2, 1]"
Jose Sanders,"[12, 38, 18]","[2, 2, 2, 3, 1]"
Donna Price,"[25, 31, 23]","[1, 1, 2, 2, 1]"
Jessica Wilson,"[2, 30, 22]","[0, 2, 2, 2, 1]"
Michael Carter,"[13, 9, 36]","[2, 2, 1, 1, 2]"
Jeremy Clark,"[27, 36, 28]","[1, 1, 2, 2, 1]"
Gregory Price,"[8, 35, 21]","[2, 1, 1, 2, 2]"
Mary Gutierrez,"[3, 9, 30]","[1, 1, 1, 2, 2]"
Tyler Morris,"[27, 32, 33]","[1, 1, 2, 2, 1]"
Diana Rogers,"[7, 9, 19]","[1, 2, 2, 1, 1]"
Natalie Morris,"[12, 29, 1]","[1, 1, 2, 3, 2]"
Jeremy Ramirez,"[26, 20, 19]","[1, 2, 2, 1, 2]"
