name,fav_partners,project_prefs
Sandra Scott,"[14, 30, 24]","[0, 3, 1, 1, 2]"
Judith Jones,"[25, 30, 29]","[1, 0, 1, 3, 3]"
Janet Torres,"[33, 39, 3]","[3, 0, 0, 0, 3]"
George Moore,"[2, 37, 27]","[3, 0, 1, 1, 3]"
Steven Cruz,"[16, 18, 11]","[1, 2, 1, 0, 2]"
Lucas Moore,"[24, 0, 13]","[1, 3, 1, 1, 2]"
Elijah Thomas,"[14, 22, 7]","[1, 0, 1, 0, 2]"
Larry Lee,"[6, 29, 21]","[2, 0, 1, 0, 2]"
Julie Campbell,"[5, 38, 22]","[1, 3, 1, 1, 2]"
Anthony Wright,"[35, 28, 1]","[1, 0, 2, 3, 3]"
Isabella Sanders,"[11, 4, 35]","[1, 2, 1, 0, 1]"
Lucas Nguyen,"[10, 33, 2]","[2, 1, 0, 1, 2]"
Tyler Rivera,"[26, 17, 5]","[2, 2, 1, 1, 2]"
Betty Stewart,"[5, 33, 8]","[1, 3, 1, 1, 2]"
Nicholas Parker,"[38, 25, 34]","[0, 1, 1, 2, 2]"
Timothy Walker,"[5, 23, 21]","[1, 3, 1, 2, 2]"
Jeremy Baker,"[4, 34, 39]","[2, 2, 1, 0, 2]"
Gregory Perez,"[12, 31, 18]","[2, 2, 2, 1, 2]"
Adam Rivera,"[4, 17, 32]","[2, 2, 1, 1, 2]"
Dylan Brown,"[18, 13, 25]","[2, 2, 2, 1, 2]"
Brittany Rodriguez,"[7, 16, 11]","[2, 1, 1, 1, 2]"
Bryan Cooper,"[15, 18, 17]","[2, 2, 2, 1, 2]"
Michelle Wright,"[6, 8, 13]","[1, 2, 1, 1, 1]"
Sean Stewart,"[15, 0, 33]","[1, 2, 1, 2, 2]"
Ruth Harris,"[5, 18, 21]","[1, 2, 2, 1, 2]"
Megan Martin,"[19, 27, 17]","[2, 2, 2, 1, 2]"
Lucas Rodriguez,"[12, 5, 6]","[2, 2, 1, 0, 1]"
Brittany Martinez,"[25, 3, 32]","[2, 1, 2, 1, 3]"
George Morris,"[8, 10, 5]","[2, 3, 1, 1, 1]"
Andrea Turner,"[4, 0, 27]","[2, 2, 1, 1, 2]"
Liam Gomez,"[0, 1, 23]","[0, 1, 1, 2, 2]"
Jonathan Gutierrez,"[17, 24, 39]","[2, 2, 1, 1, 1]"
Charlotte Nguyen,"[27, 18, 37]","[2, 1, 1, 1, 3]"
Ashley Miller,"[23, 2, 11]","[2, 1, 1, 1, 3]"
Keith Miller,"[16, 9, 38]","[2, 2, 2, 1, 2]"
Christopher Davis,"[9, 10, 4]","[1, 2, 2, 1, 2]"
Bradley Rodriguez,"[2, 10, 20]","[2, 2, 1, 1, 2]"
Douglas Stewart,"[32, 3, 12]","[2, 1, 2, 1, 2]"
Beverly Wood,"[8, 34, 14]","[1, 2, 2, 2, 2]"
Donald Ortiz,"[31, 16, 15]","[1, 2, 2, 1, 2]"
