name,fav_partners,project_prefs
Bryan Perez,"[14, 38, 5]","[3, 0, 0, 2, 2]"
Judy Ross,"[8, 32, 6]","[3, 0, 0, 1, 0]"
Megan Long,"[9, 23, 38]","[0, 2, 2, 2, 1]"
Joshua Ortiz,"[28, 11, 22]","[1, 1, 2, 0, 1]"
Sara Foster,"[33, 2, 30]","[0, 2, 2, 2, 2]"
Betty Ramos,"[0, 2, 39]","[1, 1, 1, 2, 2]"
Ronald Cox,"[38, 5, 34]","[1, 1, 2, 2, 1]"
Henry Murphy,"[14, 25, 21]","[1, 2, 2, 0, 2]"
Linda Peterson,"[1, 31, 3]","[2, 1, 1, 0, 1]"
Deborah Walker,"[2, 38, 5]","[0, 2, 1, 2, 2]"
Alan Brooks,"[30, 29, 27]","[3, 0, 0, 2, 2]"
William Collins,"[3, 31, 8]","[2, 1, 2, 0, 1]"
Bryan Ramirez,"[3, 13, 30]","[1, 2, 1, 1, 1]"
Betty Allen,"[12, 11, 39]","[1, 2, 1, 1, 1]"
Joe Green,"[7, 0, 17]","[2, 2, 2, 2, 2]"
Gloria Foster,"[24, 12, 28]","[1, 2, 1, 1, 1]"
Brittany Moore,"[27, 6, 4]","[1, 2, 2, 2, 2]"
Jean Bennett,"[14, 24, 28]","[2, 2, 1, 2, 2]"
Jerry Baker,"[19, 23, 6]","[1, 2, 2, 2, 2]"
Alexis Brooks,"[18, 14, 3]","[2, 1, 1, 1, 1]"
Gloria Brooks,"[6, 30, 33]","[1, 2, 2, 1, 2]"
Christian Lee,"[7, 18, 15]","[1, 2, 1, 1, 1]"
Peter Torres,"[3, 11, 1]","[2, 1, 1, 1, 1]"
David Cox,"[2, 6, 31]","[1, 1, 2, 2, 1]"
Lisa Myers,"[17, 30, 25]","[1, 2, 1, 2, 2]"
Sophia Hall,"[24, 7, 17]","[1, 2, 1, 1, 2]"
Jesse Williams,"[35, 29, 0]","[3, 0, 0, 2, 2]"
Joyce Wilson,"[16, 10, 21]","[2, 1, 2, 2, 1]"
Samuel Williams,"[17, 3, 15]","[1, 2, 2, 1, 1]"
Joyce Sanders,"[10, 37, 2]","[2, 1, 1, 2, 1]"
Carol Richardson,"[10, 4, 34]","[1, 1, 2, 2, 2]"
Andrea Cox,"[8, 29, 23]","[2, 2, 2, 2, 1]"
Heather Morris,"[1, 13, 5]","[1, 1, 0, 1, 2]"
Eric Walker,"[20, 4, 19]","[1, 2, 2, 1, 1]"
Tiffany Ortiz,"[6, 26, 13]","[2, 1, 1, 1, 2]"
Stephen Reyes,"[13, 26, 12]","[2, 2, 0, 1, 2]"
Gabriel Gomez,"[37, 39, 22]","[2, 1, 2, 1, 1]"
Daniel Ortiz,"[36, 29, 27]","[2, 1, 2, 1, 1]"
Lisa Harris,"[2, 0, 24]","[1, 2, 1, 2, 2]"
Abigail Phillips,"[13, 36, 28]","[2, 1, 2, 1, 1]"
