name,fav_partners,project_prefs
Nicholas Phillips,"[14, 11, 6]","[2, 0, 2, 2, 0]"
David Johnson,"[22, 9, 19]","[3, 1, 2, 3, 2]"
Nancy Brooks,"[6, 22, 31]","[0, 0, 3, 0, 0]"
Michael Johnson,"[6, 0, 34]","[1, 1, 2, 2, 1]"
Eric Parker,"[3, 8, 22]","[1, 1, 2, 1, 1]"
Arthur Ramos,"[34, 9, 12]","[0, 3, 0, 0, 1]"
Lori Morgan,"[2, 3, 22]","[1, 1, 3, 2, 1]"
Sarah Taylor,"[29, 30, 21]","[2, 2, 2, 0, 2]"
Pamela Ward,"[4, 18, 27]","[1, 1, 2, 1, 2]"
Lauren Phillips,"[1, 23, 4]","[2, 1, 2, 1, 1]"
Vincent Nguyen,"[7, 17, 24]","[1, 2, 1, 1, 1]"
Alan Allen,"[6, 31, 17]","[1, 1, 3, 2, 1]"
Jacob Roberts,"[5, 38, 37]","[0, 2, 0, 0, 2]"
Gary Kim,"[9, 28, 19]","[2, 2, 2, 1, 1]"
Alexander Rogers,"[0, 25, 26]","[1, 1, 1, 1, 1]"
Gary Rodriguez,"[28, 4, 14]","[1, 1, 2, 2, 2]"
Diane Nelson,"[28, 35, 20]","[3, 1, 0, 0, 0]"
Doris Gray,"[11, 10, 13]","[1, 2, 1, 1, 1]"
Bobby Sanders,"[19, 13, 17]","[1, 2, 2, 1, 1]"
Jack Young,"[18, 1, 0]","[1, 1, 2, 2, 1]"
George Nelson,"[37, 13, 2]","[1, 1, 2, 1, 0]"
Karen Murphy,"[28, 16, 5]","[2, 2, 0, 0, 1]"
Robert Adams,"[1, 6, 11]","[2, 1, 2, 2, 1]"
Ann Robinson,"[35, 21, 33]","[2, 2, 1, 1, 1]"
Joe Cooper,"[10, 14, 37]","[1, 2, 1, 1, 1]"
Adam Moore,"[13, 23, 31]","[1, 1, 2, 1, 1]"
Shirley Turner,"[14, 2, 37]","[0, 1, 2, 0, 1]"
Zachary Anderson,"[8, 9, 18]","[2, 2, 2, 2, 1]"
Thomas Cooper,"[13, 16, 21]","[2, 1, 1, 1, 1]"
Shirley Torres,"[28, 15, 22]","[2, 2, 2, 2, 2]"
Walter Ross,"[7, 22, 23]","[2, 2, 2, 2, 2]"
Noah Miller,"[6, 4, 21]","[1, 1, 2, 2, 1]"
Tiffany Jones,"[20, 18, 1]","[2, 1, 1, 2, 1]"
Logan Thomas,"[23, 6, 4]","[2, 1, 2, 2, 1]"
Christina Ramos,"[33, 1, 25]","[2, 1, 2, 2, 1]"
Deborah Lopez,"[16, 23, 15]","[2, 1, 1, 1, 1]"
Denise Ruiz,"[17, 26, 13]","[1, 2, 2, 1, 1]"
Kimberly Jimenez,"[20, 24, 26]","[1, 1, 1, 1, 1]"
Natalie James,"[12, 11, 13]","[1, 2, 2, 1, 2]"
Debra Lopez,"[25, 23, 5]","[2, 1, 1, 1, 1]"
