name,fav_partners,project_prefs
Cynthia Perez,"[33, 38, 18]","[2, 3, 2, 0, 2]"
Diana Diaz,"[32, 23, 2]","[2, 3, 1, 0, 2]"
Carol Johnson,"[14, 6, 21]","[3, 2, 2, 2, 0]"
Ashley Perez,"[5, 27, 36]","[3, 3, 2, 1, 0]"
Heather Howard,"[14, 22, 32]","[2, 1, 3, 2, 3]"
Nancy Watson,"[3, 11, 35]","[2, 3, 2, 2, 0]"
Carol Brown,"[2, 8, 30]","[2, 2, 2, 2, 1]"
Roy Torres,"[38, 19, 24]","[2, 2, 3, 0, 3]"
Judith Walker,"[37, 14, 11]","[0, 0, 2, 1, 1]"
Gloria Mendoza,"[2, 39, 12]","[3, 2, 2, 1, 0]"
Randy Long,"[30, 16, 28]","[1, 3, 1, 0, 3]"
Abigail Adams,"[8, 5, 26]","[1, 1, 2, 1, 0]"
Cynthia Wilson,"[9, 25, 7]","[2, 1, 2, 1, 1]"
Raymond Gutierrez,"[3, 12, 2]","[3, 2, 2, 1, 0]"
Betty Reed,"[4, 8, 2]","[1, 1, 2, 2, 2]"
Frank Perez,"[11, 12, 6]","[1, 1, 2, 1, 1]"
Christopher Stewart,"[10, 4, 5]","[1, 2, 2, 1, 1]"
Austin Nguyen,"[39, 27, 3]","[3, 3, 2, 2, 1]"
William Rodriguez,"[0, 31, 29]","[2, 3, 2, 0, 2]"
Logan Morgan,"[1, 9, 25]","[2, 2, 2, 1, 1]"
Daniel Mendoza,"[18, 31, 12]","[2, 2, 2, 1, 2]"
Thomas Reed,"[2, 3, 0]","[2, 2, 2, 1, 0]"
Joseph Mendoza,"[8, 12, 13]","[2, 1, 2, 1, 1]"
Douglas Scott,"[1, 22, 13]","[2, 2, 1, 1, 1]"
Ann Clark,"[7, 38, 37]","[1, 2, 3, 1, 3]"
Shirley Jones,"[12, 19, 24]","[2, 2, 2, 1, 2]"
Scott Phillips,"[37, 33, 34]","[1, 0, 0, 0, 2]"
Gabriel Torres,"[3, 33, 6]","[2, 2, 2, 1, 0]"
Tiffany Nguyen,"[12, 14, 6]","[1, 1, 2, 1, 1]"
Evelyn Brooks,"[18, 10, 38]","[2, 3, 2, 0, 3]"
Walter Rivera,"[10, 6, 13]","[2, 2, 1, 2, 2]"
Doris Cox,"[20, 12, 28]","[2, 1, 1, 1, 1]"
John Smith,"[4, 1, 3]","[2, 2, 1, 1, 2]"
Ashley Turner,"[27, 8, 34]","[1, 1, 2, 1, 1]"
Sophia Carter,"[9, 12, 36]","[2, 2, 2, 1, 0]"
Carl Ross,"[5, 10, 25]","[2, 2, 2, 1, 1]"
Jason Castillo,"[3, 34, 1]","[2, 3, 2, 1, 1]"
Bobby Rivera,"[24, 8, 9]","[1, 1, 2, 1, 2]"
Alan Thomas,"[24, 0, 7]","[2, 2, 2, 1, 3]"
Jordan Ramirez,"[17, 9, 12]","[2, 2, 2, 2, 0]"
